version,2.2.0
info,balls_per_over,6
info,team,Canada
info,team,Cayman Islands
info,gender,male
info,season,2023/24
info,date,2023/10/04
info,event,ICC Men's T20 World Cup Americas Region Final
info,match_number,7
info,venue,"National Stadium, Hamilton"
info,city,Hamilton
info,toss_winner,Canada
info,toss_decision,bat
info,player_of_match,Pargat Singh
info,umpire,Emmerson Carrington
info,umpire,Jermaine Lindo
info,reserve_umpire,JM Williams
info,match_referee,Reon King
info,winner,Canada
info,winner_runs,166
info,player,Canada,A Johnson
info,player,Canada,NS Dhaliwal
info,player,Canada,Pargat Singh
info,player,Canada,H Thaker
info,player,Canada,NR Kirton
info,player,Canada,D Heyliger
info,player,Canada,N Dutta
info,player,Canada,Saad Bin Zafar
info,player,Canada,Kaleem Sana
info,player,Canada,SA Wijeratne
info,player,Canada,Shahid Ahmadzai
info,player,Cayman Islands,AR Naidoo
info,player,Cayman Islands,P Heron
info,player,Cayman Islands,RA Sealy
info,player,Cayman Islands,OR Willis
info,player,Cayman Islands,BKB Corbin
info,player,Cayman Islands,ROC Dunka
info,player,Cayman Islands,AF Ifill
info,player,Cayman Islands,C Wright
info,player,Cayman Islands,A Morris
info,player,Cayman Islands,M Manivannan
info,player,Cayman Islands,KA Bazil
info,registry,people,A Johnson,a28a7fba
info,registry,people,A Morris,04cf2e94
info,registry,people,AF Ifill,0e6c2f00
info,registry,people,AR Naidoo,68886c16
info,registry,people,BKB Corbin,036b8660
info,registry,people,C Wright,d465c6d7
info,registry,people,D Heyliger,f8c72766
info,registry,people,Emmerson Carrington,a428109a
info,registry,people,H Thaker,c01d7726
info,registry,people,JM Williams,b61d9d70
info,registry,people,Jermaine Lindo,1154bf4f
info,registry,people,KA Bazil,d22287a8
info,registry,people,Kaleem Sana,14810ee7
info,registry,people,M Manivannan,e5b16284
info,registry,people,N Dutta,e258a603
info,registry,people,NR Kirton,6b75c2b1
info,registry,people,NS Dhaliwal,cbabd6ad
info,registry,people,OR Willis,819574ef
info,registry,people,P Heron,30b902a3
info,registry,people,Pargat Singh,d2e67105
info,registry,people,RA Sealy,1e98804a
info,registry,people,ROC Dunka,762f43b7
info,registry,people,Reon King,20fbf68c
info,registry,people,SA Wijeratne,5fbd0632
info,registry,people,Saad Bin Zafar,f28a60e0
info,registry,people,Shahid Ahmadzai,3fb56752
