version,2.2.0
info,balls_per_over,6
info,team,Kenya
info,team,Tanzania
info,gender,female
info,season,2023/24
info,date,2023/12/11
info,event,ICC Women's T20 World Cup Africa Region Qualifier
info,match_number,5
info,venue,Entebbe Cricket Oval
info,city,Entebbe
info,toss_winner,Tanzania
info,toss_decision,field
info,player_of_match,HM Omary
info,umpire,N Perera
info,umpire,S Dambanevana
info,reserve_umpire,S Kintu
info,match_referee,O Chirombe
info,winner,Tanzania
info,winner_wickets,7
info,method,D/L
info,player,Kenya,Q Abel
info,player,Kenya,MI Khagoitsa
info,player,Kenya,E Wachira
info,player,Kenya,M Mwangi
info,player,Kenya,V Ooko
info,player,Kenya,F Odhiambo
info,player,Kenya,KV Mehta
info,player,Kenya,L Idambo
info,player,Kenya,C Muthoni
info,player,Kenya,JS Ndanu
info,player,Kenya,K Ogola
info,player,Tanzania,S Mtae
info,player,Tanzania,FO Kibasu
info,player,Tanzania,A Mohamed
info,player,Tanzania,HM Omary
info,player,Tanzania,NJ Pius
info,player,Tanzania,SF Jerome
info,player,Tanzania,SH Mohamedi
info,player,Tanzania,MH Ushanga
info,player,Tanzania,PZ Kamunya
info,player,Tanzania,AS Qwele
info,player,Tanzania,M Pascal
info,registry,people,A Mohamed,86a68879
info,registry,people,AS Qwele,26b3df21
info,registry,people,C Muthoni,f85462b1
info,registry,people,E Wachira,f5e70dd4
info,registry,people,F Odhiambo,97eb9a07
info,registry,people,FO Kibasu,1c726c76
info,registry,people,HM Omary,2cbe5db1
info,registry,people,JS Ndanu,c27e0638
info,registry,people,K Ogola,7f7dc2ee
info,registry,people,KV Mehta,f7ae66f3
info,registry,people,L Idambo,27339093
info,registry,people,M Mwangi,72de0105
info,registry,people,M Pascal,729c5ab5
info,registry,people,MH Ushanga,0286eabe
info,registry,people,MI Khagoitsa,2d772f77
info,registry,people,N Perera,129709f9
info,registry,people,NJ Pius,f4270fc7
info,registry,people,O Chirombe,6345307f
info,registry,people,PZ Kamunya,6e60bbe2
info,registry,people,Q Abel,2e988457
info,registry,people,S Dambanevana,039923bd
info,registry,people,S Kintu,ff387f93
info,registry,people,S Mtae,bb641155
info,registry,people,SF Jerome,e393c6c1
info,registry,people,SH Mohamedi,10ab6a37
info,registry,people,V Ooko,2ae76bf6
