version,2.2.0
info,balls_per_over,6
info,team,Bangladesh
info,team,South Africa
info,gender,female
info,season,2024/25
info,date,2024/10/12
info,event,ICC Women's T20 World Cup
info,match_number,16
info,venue,Dubai International Cricket Stadium
info,city,Dubai
info,toss_winner,Bangladesh
info,toss_decision,bat
info,player_of_match,T Brits
info,umpire,JM Williams
info,umpire,N Perera
info,reserve_umpire,Kim Cotton
info,tv_umpire,VG Rathi
info,match_referee,GS Lakshmi
info,winner,South Africa
info,winner_wickets,7
info,player,Bangladesh,Dilara Akter
info,player,Bangladesh,S Rani
info,player,Bangladesh,S Mostary
info,player,Bangladesh,Nigar Sultana
info,player,Bangladesh,Shorna Akter
info,player,Bangladesh,Murshida Khatun
info,player,Bangladesh,Ritu Moni
info,player,Bangladesh,Fahima Khatun
info,player,Bangladesh,Rabeya Khan
info,player,Bangladesh,Nahida Akter
info,player,Bangladesh,Marufa Akter
info,player,South Africa,L Wolvaardt
info,player,South Africa,T Brits
info,player,South Africa,A Bosch
info,player,South Africa,M Kapp
info,player,South Africa,CL Tryon
info,player,South Africa,S Luus
info,player,South Africa,A Dercksen
info,player,South Africa,N de Klerk
info,player,South Africa,S Jafta
info,player,South Africa,N Mlaba
info,player,South Africa,A Khaka
info,registry,people,A Bosch,dcf0e8f4
info,registry,people,A Dercksen,d2b1f515
info,registry,people,A Khaka,0d518f89
info,registry,people,CL Tryon,4d4605e6
info,registry,people,Dilara Akter,f2670a3d
info,registry,people,Fahima Khatun,558cdd64
info,registry,people,GS Lakshmi,ba8d5615
info,registry,people,JM Williams,b61d9d70
info,registry,people,Kim Cotton,67a7c2ee
info,registry,people,L Wolvaardt,e60f81c9
info,registry,people,M Kapp,63e3b6b3
info,registry,people,Marufa Akter,a50797a4
info,registry,people,Murshida Khatun,712bbd92
info,registry,people,N Mlaba,686362af
info,registry,people,N Perera,129709f9
info,registry,people,N de Klerk,ea544967
info,registry,people,Nahida Akter,66078174
info,registry,people,Nigar Sultana,3827f6a2
info,registry,people,Rabeya Khan,aaf037b1
info,registry,people,Ritu Moni,ad3940a5
info,registry,people,S Jafta,34304210
info,registry,people,S Luus,6d76bc23
info,registry,people,S Mostary,94de63bf
info,registry,people,S Rani,b3f7066c
info,registry,people,Shorna Akter,89895ae1
info,registry,people,T Brits,06659caa
info,registry,people,VG Rathi,144e5b16
