version,2.2.0
info,balls_per_over,6
info,team,Uganda
info,team,Namibia
info,gender,female
info,season,2023
info,date,2023/05/02
info,event,Women's T20 Quadrangular Series (in Namibia)
info,venue,"United Cricket Club Ground, Windhoek"
info,city,Windhoek
info,toss_winner,Uganda
info,toss_decision,bat
info,player_of_match,S Nampiina
info,umpire,E Lassen
info,umpire,S Loftie-Eaton
info,reserve_umpire,E Haynes
info,winner,Uganda
info,winner_runs,3
info,player,Uganda,K Awino
info,player,Uganda,P Alako
info,player,Uganda,J Mbabazi
info,player,Uganda,S Nampiina
info,player,Uganda,I Nakisuuyi
info,player,Uganda,PE Kulume
info,player,Uganda,R Musamali
info,player,Uganda,C Aweko
info,player,Uganda,E Anyipo
info,player,Uganda,I Alumo
info,player,Uganda,S Akiteng
info,player,Namibia,SA Wittmann
info,player,Namibia,Yasmeen Khan
info,player,Namibia,A van der Merwe
info,player,Namibia,JA Diergaardt
info,player,Namibia,W Mwatile
info,player,Namibia,KA Green
info,player,Namibia,D Foerster
info,player,Namibia,M Gorases
info,player,Namibia,I van Zyl
info,player,Namibia,V Hamunyela
info,player,Namibia,M Mwatile
info,registry,people,A van der Merwe,02610bad
info,registry,people,C Aweko,01c1b96c
info,registry,people,D Foerster,5596d5bf
info,registry,people,E Anyipo,d9e5ecb4
info,registry,people,E Haynes,56e4f120
info,registry,people,E Lassen,a476d6d0
info,registry,people,I Alumo,6edd8b10
info,registry,people,I Nakisuuyi,2f145a4f
info,registry,people,I van Zyl,44c3cb6d
info,registry,people,J Mbabazi,aaa6e84c
info,registry,people,JA Diergaardt,b72a8938
info,registry,people,K Awino,c4e7749a
info,registry,people,KA Green,fa9fdefa
info,registry,people,M Gorases,d034d60a
info,registry,people,M Mwatile,92b9e9af
info,registry,people,P Alako,fcf37e14
info,registry,people,PE Kulume,bb1a5f8a
info,registry,people,R Musamali,017cadb2
info,registry,people,S Akiteng,cf92d76b
info,registry,people,S Loftie-Eaton,71cc38ef
info,registry,people,S Nampiina,91d9aa26
info,registry,people,SA Wittmann,531aef3b
info,registry,people,V Hamunyela,d758a366
info,registry,people,W Mwatile,5728635a
info,registry,people,Yasmeen Khan,ade5c0c0
