version,2.2.0
info,balls_per_over,6
info,team,Finland
info,team,Estonia
info,gender,male
info,season,2024
info,date,2024/08/22
info,event,ICC Men's T20 World Cup Sub Regional Europe Qualifier Group C
info,match_number,5
info,venue,"King George V Sports Ground, Castel"
info,city,Castel
info,toss_winner,Estonia
info,toss_decision,field
info,player_of_match,S Gooch
info,umpire,Jareth McCready
info,umpire,RJ Warren
info,reserve_umpire,AA Baig
info,match_referee,GH Pienaar
info,winner,Estonia
info,winner_wickets,8
info,player,Finland,Ghulam Abbas Butt
info,player,Finland,VS Padhaal
info,player,Finland,Jordan O'Brien
info,player,Finland,JOP Scamans
info,player,Finland,Faheem Nellancheri
info,player,Finland,NM Salonen
info,player,Finland,MB Tambe
info,player,Finland,Amjad Sher
info,player,Finland,Akhil Arjunan
info,player,Finland,E Kuchey
info,player,Finland,Raaz Mohammad
info,player,Estonia,Arslan Amjad
info,player,Estonia,S Gooch
info,player,Estonia,Ali Masood
info,player,Estonia,Bilal Masud
info,player,Estonia,Habib Khan
info,player,Estonia,Sahil Chauhan
info,player,Estonia,M Vaik
info,player,Estonia,S Hook
info,player,Estonia,D Robson
info,player,Estonia,Shayan Khan
info,player,Estonia,A Paul
info,registry,people,A Paul,fa308279
info,registry,people,AA Baig,5c67c7a6
info,registry,people,Akhil Arjunan,2b203501
info,registry,people,Ali Masood,a138f597
info,registry,people,Amjad Sher,3b4a8cfb
info,registry,people,Arslan Amjad,c228c52d
info,registry,people,Bilal Masud,643e4882
info,registry,people,D Robson,fa39ad19
info,registry,people,E Kuchey,5d6064b0
info,registry,people,Faheem Nellancheri,6513502f
info,registry,people,GH Pienaar,3516e46b
info,registry,people,Ghulam Abbas Butt,cc796077
info,registry,people,Habib Khan,5152ab02
info,registry,people,JOP Scamans,4e56e796
info,registry,people,Jareth McCready,84fa5232
info,registry,people,Jordan O'Brien,c31d7da1
info,registry,people,M Vaik,5335c5a7
info,registry,people,MB Tambe,1c1bb0d5
info,registry,people,NM Salonen,f5bd70f2
info,registry,people,RJ Warren,9d1c62d7
info,registry,people,Raaz Mohammad,f83b77f9
info,registry,people,S Gooch,622be0d9
info,registry,people,S Hook,eba871dd
info,registry,people,Sahil Chauhan,f219df21
info,registry,people,Shayan Khan,b7152dc4
info,registry,people,VS Padhaal,c4fb0b39
