version,2.2.0
info,balls_per_over,6
info,team,Pakistan
info,team,Bangladesh
info,gender,female
info,season,2023
info,date,2023/09/25
info,event,Asian Games Women's Cricket Competition
info,venue,Zhejiang University of Technology Cricket Field
info,city,Hangzhou
info,toss_winner,Bangladesh
info,toss_decision,field
info,umpire,RSA Palliyaguruge
info,umpire,VG Rathi
info,reserve_umpire,N Sivan
info,tv_umpire,Sarika Prasad
info,match_referee,Prakash Bhatt
info,winner,Bangladesh
info,winner_wickets,5
info,player,Pakistan,Shawaal Zulfiqar
info,player,Pakistan,Sidra Ameen
info,player,Pakistan,Sadaf Shamas
info,player,Pakistan,Muneeba Ali
info,player,Pakistan,Natalia Pervaiz
info,player,Pakistan,Nida Dar
info,player,Pakistan,Aliya Riaz
info,player,Pakistan,Umm-e-Hani
info,player,Pakistan,Diana Baig
info,player,Pakistan,Nashra Sandhu
info,player,Pakistan,Sadia Iqbal
info,player,Bangladesh,Shamima Sultana
info,player,Bangladesh,S Rani
info,player,Bangladesh,S Mostary
info,player,Bangladesh,Nigar Sultana
info,player,Bangladesh,Shorna Akter
info,player,Bangladesh,Ritu Moni
info,player,Bangladesh,Sultana Khatun
info,player,Bangladesh,Marufa Akter
info,player,Bangladesh,Nahida Akter
info,player,Bangladesh,Sanjida Akter Meghla
info,player,Bangladesh,Rabeya Khan
info,registry,people,Aliya Riaz,2904b4b6
info,registry,people,Diana Baig,a51e6c6e
info,registry,people,Marufa Akter,a50797a4
info,registry,people,Muneeba Ali,86fdf668
info,registry,people,N Sivan,8f4a0102
info,registry,people,Nahida Akter,66078174
info,registry,people,Nashra Sandhu,c981d3c2
info,registry,people,Natalia Pervaiz,fa8a3eb0
info,registry,people,Nida Dar,ed840f44
info,registry,people,Nigar Sultana,3827f6a2
info,registry,people,Prakash Bhatt,f848ab0b
info,registry,people,RSA Palliyaguruge,4339c19d
info,registry,people,Rabeya Khan,aaf037b1
info,registry,people,Ritu Moni,ad3940a5
info,registry,people,S Mostary,94de63bf
info,registry,people,S Rani,b3f7066c
info,registry,people,Sadaf Shamas,f19c8dc0
info,registry,people,Sadia Iqbal,53bb50f0
info,registry,people,Sanjida Akter Meghla,a6412417
info,registry,people,Sarika Prasad,8ff397fa
info,registry,people,Shamima Sultana,724645f5
info,registry,people,Shawaal Zulfiqar,adb2f55e
info,registry,people,Shorna Akter,89895ae1
info,registry,people,Sidra Ameen,72c9ad99
info,registry,people,Sultana Khatun,fb0c0bcc
info,registry,people,Umm-e-Hani,6ee11109
info,registry,people,VG Rathi,144e5b16
