version,2.2.0
info,balls_per_over,6
info,team,Lesotho
info,team,Mali
info,gender,male
info,season,2022/23
info,date,2022/11/17
info,event,ICC Men's T20 World Cup Sub Regional Africa Qualifier
info,match_number,2
info,venue,Integrated Polytechnic Regional Centre
info,city,Kigali City
info,toss_winner,Mali
info,toss_decision,field
info,player_of_match,LM Gabriel
info,umpire,IO Oyieko
info,umpire,R D'Mello
info,reserve_umpire,D Odhiambo
info,match_referee,S Wadvalla
info,winner,Lesotho
info,winner_runs,31
info,player,Lesotho,Maaz Khan
info,player,Lesotho,C Tlali
info,player,Lesotho,Sameer Patel
info,player,Lesotho,LM Gabriel
info,player,Lesotho,Waseem Yaqoob
info,player,Lesotho,Khan Arbaaz
info,player,Lesotho,YYM Jakda
info,player,Lesotho,ME Leoela
info,player,Lesotho,TD Chaoana
info,player,Lesotho,MV Matsau
info,player,Lesotho,TG Thamae
info,player,Mali,M Sidibe
info,player,Mali,Mohamed Coulibaly
info,player,Mali,D Traore
info,player,Mali,MS Diawara
info,player,Mali,MT Diaby
info,player,Mali,CA Keita
info,player,Mali,TM Macalou
info,player,Mali,SG Diaby
info,player,Mali,MS Diakite
info,player,Mali,S Kamate
info,player,Mali,L Sanogo
info,registry,people,C Tlali,70841eab
info,registry,people,CA Keita,5b9b8d98
info,registry,people,D Odhiambo,45994517
info,registry,people,D Traore,273be75a
info,registry,people,IO Oyieko,de4828fa
info,registry,people,Khan Arbaaz,b84be97f
info,registry,people,L Sanogo,abbc06cf
info,registry,people,LM Gabriel,88a5adcf
info,registry,people,M Sidibe,78091b14
info,registry,people,ME Leoela,3b107df5
info,registry,people,MS Diakite,69795fcd
info,registry,people,MS Diawara,8c95e2dd
info,registry,people,MT Diaby,5d00cd6f
info,registry,people,MV Matsau,dad64776
info,registry,people,Maaz Khan,6f14ddcb
info,registry,people,Mohamed Coulibaly,86ea6123
info,registry,people,R D'Mello,f3c22863
info,registry,people,S Kamate,d7af6207
info,registry,people,S Wadvalla,c1a1acf3
info,registry,people,SG Diaby,fe3e9880
info,registry,people,Sameer Patel,2bae86b6
info,registry,people,TD Chaoana,16ddd36b
info,registry,people,TG Thamae,d08fe309
info,registry,people,TM Macalou,8a9320a1
info,registry,people,Waseem Yaqoob,06b387f1
info,registry,people,YYM Jakda,2e3dc859
