version,2.2.0
info,balls_per_over,6
info,team,Bulgaria
info,team,Guernsey
info,gender,male
info,season,2024
info,date,2024/08/21
info,event,ICC Men's T20 World Cup Sub Regional Europe Qualifier Group C
info,match_number,2
info,venue,"Guernsey Rovers Athletic Club Ground, Port Soif"
info,city,Port  Soif
info,toss_winner,Bulgaria
info,toss_decision,bat
info,player_of_match,M Dale-Bradley
info,umpire,RJ Warren
info,umpire,S Wood
info,reserve_umpire,RJ Veillard
info,match_referee,GH Pienaar
info,winner,Guernsey
info,winner_wickets,8
info,player,Bulgaria,Zeerak Chughtai
info,player,Bulgaria,D Nikolov
info,player,Bulgaria,Firas Hussain
info,player,Bulgaria,M Gogev
info,player,Bulgaria,Isa Zaroo
info,player,Bulgaria,Omar Rassol
info,player,Bulgaria,P Mishra
info,player,Bulgaria,Danyal Raja
info,player,Bulgaria,Ali Rasool
info,player,Bulgaria,Gagandeep Singh
info,player,Bulgaria,O Duff
info,player,Guernsey,J Butler
info,player,Guernsey,B Fitchet
info,player,Guernsey,T Nightingale
info,player,Guernsey,MWR Stokes
info,player,Guernsey,OB Nightingale
info,player,Guernsey,A Martel
info,player,Guernsey,LT Bichard
info,player,Guernsey,M Dale-Bradley
info,player,Guernsey,IDA Damarell
info,player,Guernsey,C Forshaw
info,player,Guernsey,D Mullen
info,registry,people,A Martel,65cd62a9
info,registry,people,Ali Rasool,1a710f40
info,registry,people,B Fitchet,d77ecd14
info,registry,people,C Forshaw,0ed66ce6
info,registry,people,D Mullen,61da7440
info,registry,people,D Nikolov,9c3a8776
info,registry,people,Danyal Raja,324e00a9
info,registry,people,Firas Hussain,261d591a
info,registry,people,GH Pienaar,3516e46b
info,registry,people,Gagandeep Singh,4a370769
info,registry,people,IDA Damarell,580ae7f2
info,registry,people,Isa Zaroo,9822fb85
info,registry,people,J Butler,efcb778e
info,registry,people,LT Bichard,dfcdb11e
info,registry,people,M Dale-Bradley,62b2aa65
info,registry,people,M Gogev,995fd3b2
info,registry,people,MWR Stokes,c573d173
info,registry,people,O Duff,550c9b2c
info,registry,people,OB Nightingale,1deb4c0c
info,registry,people,Omar Rassol,6caae2dc
info,registry,people,P Mishra,3fa5672e
info,registry,people,RJ Veillard,0a8ebf05
info,registry,people,RJ Warren,9d1c62d7
info,registry,people,S Wood,fe38aa0b
info,registry,people,T Nightingale,51a125b3
info,registry,people,Zeerak Chughtai,ff0b1636
