version,2.2.0
info,balls_per_over,6
info,team,South Africa
info,team,Uganda
info,gender,female
info,season,2023/24
info,date,2024/03/11
info,event,Women's African Games
info,venue,"Achimota Senior Secondary School A Field, Accra"
info,city,Accra
info,toss_winner,Uganda
info,toss_decision,field
info,player_of_match,N Shangase
info,umpire,A Kassam
info,umpire,S Dambanevana
info,reserve_umpire,P Sizara
info,match_referee,ET Dube
info,winner,South Africa
info,winner_runs,50
info,player,South Africa,F Tunnicliffe
info,player,South Africa,A Dercksen
info,player,South Africa,J Evans
info,player,South Africa,N Shangase
info,player,South Africa,M Smit
info,player,South Africa,K Reyneke
info,player,South Africa,K Meso
info,player,South Africa,L Jones
info,player,South Africa,N Baneti
info,player,South Africa,J Winster
info,player,South Africa,S Naidu
info,player,Uganda,G Obukor
info,player,Uganda,I Nakisuuyi
info,player,Uganda,E Iloku
info,player,Uganda,J Mbabazi
info,player,Uganda,S Nampiina
info,player,Uganda,R Musamali
info,player,Uganda,K Awino
info,player,Uganda,PE Kulume
info,player,Uganda,S Walaza
info,player,Uganda,C Aweko
info,player,Uganda,L Anyait
info,registry,people,A Dercksen,d2b1f515
info,registry,people,A Kassam,7d13b388
info,registry,people,C Aweko,01c1b96c
info,registry,people,E Iloku,f1fa1c6b
info,registry,people,ET Dube,4c0891bc
info,registry,people,F Tunnicliffe,41f534cd
info,registry,people,G Obukor,1b378842
info,registry,people,I Nakisuuyi,2f145a4f
info,registry,people,J Evans,80f6c181
info,registry,people,J Mbabazi,aaa6e84c
info,registry,people,J Winster,ecb8ba2c
info,registry,people,K Awino,c4e7749a
info,registry,people,K Meso,130336c6
info,registry,people,K Reyneke,9e5f4ad7
info,registry,people,L Anyait,cffeef53
info,registry,people,L Jones,c7fcc20b
info,registry,people,M Smit,996ed07c
info,registry,people,N Baneti,f121120f
info,registry,people,N Shangase,b17a4a93
info,registry,people,P Sizara,5d45bb7f
info,registry,people,PE Kulume,bb1a5f8a
info,registry,people,R Musamali,017cadb2
info,registry,people,S Dambanevana,039923bd
info,registry,people,S Naidu,ff20c3ed
info,registry,people,S Nampiina,91d9aa26
info,registry,people,S Walaza,f67ea6d2
