version,2.2.0
info,balls_per_over,6
info,team,Ireland
info,team,Pakistan
info,gender,male
info,season,2024
info,date,2024/06/16
info,event,ICC Men's T20 World Cup
info,match_number,36
info,venue,"Central Broward Regional Park Stadium Turf Ground, Lauderhill"
info,city,Lauderhill
info,toss_winner,Pakistan
info,toss_decision,field
info,player_of_match,Shaheen Shah Afridi
info,umpire,CB Gaffaney
info,umpire,RJ Tucker
info,reserve_umpire,RA Kettleborough
info,tv_umpire,Sharfuddoula
info,match_referee,J Srinath
info,winner,Pakistan
info,winner_wickets,3
info,player,Ireland,A Balbirnie
info,player,Ireland,PR Stirling
info,player,Ireland,L Tucker
info,player,Ireland,HT Tector
info,player,Ireland,C Campher
info,player,Ireland,GH Dockrell
info,player,Ireland,GJ Delany
info,player,Ireland,MR Adair
info,player,Ireland,BJ McCarthy
info,player,Ireland,J Little
info,player,Ireland,B White
info,player,Pakistan,Mohammad Rizwan
info,player,Pakistan,Saim Ayub
info,player,Pakistan,Babar Azam
info,player,Pakistan,Fakhar Zaman
info,player,Pakistan,Usman Khan
info,player,Pakistan,Shadab Khan
info,player,Pakistan,Imad Wasim
info,player,Pakistan,Abbas Afridi
info,player,Pakistan,Shaheen Shah Afridi
info,player,Pakistan,Haris Rauf
info,player,Pakistan,Mohammad Amir
info,registry,people,A Balbirnie,6ef13460
info,registry,people,Abbas Afridi,2cec2a92
info,registry,people,B White,1a448be0
info,registry,people,BJ McCarthy,3766056b
info,registry,people,Babar Azam,8a75e999
info,registry,people,C Campher,478a63e7
info,registry,people,CB Gaffaney,d5ac41d8
info,registry,people,Fakhar Zaman,1777c020
info,registry,people,GH Dockrell,99cddc5e
info,registry,people,GJ Delany,33b3d2df
info,registry,people,GR Adair,4ec96094
info,registry,people,HT Tector,59ea70a4
info,registry,people,Haris Rauf,24bb1c2f
info,registry,people,Imad Wasim,9cb8d7a6
info,registry,people,J Little,9061a703
info,registry,people,J Srinath,bad31fac
info,registry,people,L Tucker,3979b5e0
info,registry,people,MR Adair,fc55ec67
info,registry,people,Mohammad Amir,e174dadd
info,registry,people,Mohammad Rizwan,2f26ac1a
info,registry,people,PR Stirling,cf494ffe
info,registry,people,RA Kettleborough,4017868f
info,registry,people,RJ Tucker,38810cfc
info,registry,people,Saim Ayub,33609a8c
info,registry,people,Shadab Khan,9de62878
info,registry,people,Shaheen Shah Afridi,45a7e761
info,registry,people,Sharfuddoula,63896abb
info,registry,people,Usman Khan,bafb9238
