version,2.2.0
info,balls_per_over,6
info,team,United Arab Emirates
info,team,Thailand
info,gender,male
info,season,2024/25
info,date,2024/11/23
info,event,ICC Men's T20 World Cup Asia Qualifier B
info,match_number,11
info,venue,University of Doha for Science and Technology
info,city,Doha
info,toss_winner,United Arab Emirates
info,toss_decision,bat
info,player_of_match,R Chopra
info,umpire,BB Pradhan
info,umpire,VG Rathi
info,reserve_umpire,Izatullah Safi
info,match_referee,Ali Naqvi
info,winner,United Arab Emirates
info,winner_runs,155
info,player,United Arab Emirates,A Sharafu
info,player,United Arab Emirates,Waseem Muhammad
info,player,United Arab Emirates,Asif Khan
info,player,United Arab Emirates,R Chopra
info,player,United Arab Emirates,Syed Haider
info,player,United Arab Emirates,Ali Naseer
info,player,United Arab Emirates,Zuhaib Zubair
info,player,United Arab Emirates,D Parashar
info,player,United Arab Emirates,SS Kang
info,player,United Arab Emirates,Junaid Siddique
info,player,United Arab Emirates,Muhammad Jawadullah
info,player,Thailand,AP Yadav
info,player,Thailand,C Chatphaisan
info,player,Thailand,Y Saranonnakkun
info,player,Thailand,AV Lazarus
info,player,Thailand,S Rungrueang
info,player,Thailand,S Desungnoen
info,player,Thailand,N Salekar
info,player,Thailand,C Pengkumta
info,player,Thailand,N Senamontree
info,player,Thailand,A Kalasi
info,player,Thailand,Sarawut Maliwan
info,registry,people,A Kalasi,8930a2a6
info,registry,people,A Sharafu,06cad4f0
info,registry,people,AP Yadav,a5501504
info,registry,people,AV Lazarus,30c917bf
info,registry,people,Ali Naqvi,3c89fc88
info,registry,people,Ali Naseer,f5715b48
info,registry,people,Asif Khan,074acfb4
info,registry,people,BB Pradhan,8603d942
info,registry,people,C Chatphaisan,85c56be8
info,registry,people,C Pengkumta,b3540b2a
info,registry,people,D Parashar,395179e8
info,registry,people,Izatullah Safi,0429e73e
info,registry,people,Junaid Siddique,84dc72db
info,registry,people,Muhammad Jawadullah,098a757c
info,registry,people,N Salekar,54403333
info,registry,people,N Senamontree,44e00a4c
info,registry,people,R Chopra,a71d0f89
info,registry,people,S Desungnoen,3eb26dc4
info,registry,people,S Rungrueang,35ae9e8a
info,registry,people,SS Kang,797ee165
info,registry,people,Sarawut Maliwan,36a0a88c
info,registry,people,Syed Haider,ab23a6a1
info,registry,people,VG Rathi,144e5b16
info,registry,people,Waseem Muhammad,6f02fe2a
info,registry,people,Y Saranonnakkun,9c93c0a3
info,registry,people,Zuhaib Zubair,9124aa4c
