version,2.2.0
info,balls_per_over,6
info,team,Papua New Guinea
info,team,Nepal
info,gender,male
info,season,2023/24
info,date,2024/03/13
info,event,Nepal tour of Hong Kong
info,venue,"Mission Road Ground, Mong Kok, Hong Kong"
info,city,Mong Kok
info,toss_winner,Nepal
info,toss_decision,field
info,player_of_match,TP Ura
info,umpire,John Prakash
info,umpire,SJ D'Cruz
info,reserve_umpire,H Tukrul
info,match_referee,G Sankaranarayanan
info,winner,Papua New Guinea
info,winner_runs,86
info,player,Papua New Guinea,TP Ura
info,player,Papua New Guinea,S Bau
info,player,Papua New Guinea,A Vala
info,player,Papua New Guinea,L Siaka
info,player,Papua New Guinea,H Hiri
info,player,Papua New Guinea,HGV Vare
info,player,Papua New Guinea,CA Soper
info,player,Papua New Guinea,K Doriga
info,player,Papua New Guinea,A Nao
info,player,Papua New Guinea,KV Morea
info,player,Papua New Guinea,SI Kamea
info,player,Nepal,K Bhurtel
info,player,Nepal,B Bhandari
info,player,Nepal,RK Paudel
info,player,Nepal,Gulsan Jha
info,player,Nepal,Aarif Sheikh
info,player,Nepal,S Jora
info,player,Nepal,B Yadav
info,player,Nepal,Lokesh Bam
info,player,Nepal,Karan KC
info,player,Nepal,Pratis GC
info,player,Nepal,Aakash Chand
info,registry,people,A Nao,4d1ec7eb
info,registry,people,A Vala,72e60730
info,registry,people,Aakash Chand,279c51f0
info,registry,people,Aarif Sheikh,cd4d7695
info,registry,people,B Bhandari,82342b13
info,registry,people,B Yadav,ef07f354
info,registry,people,CA Soper,9920dd86
info,registry,people,G Sankaranarayanan,a4a348f9
info,registry,people,Gulsan Jha,9811e35e
info,registry,people,H Hiri,9dc3ea7e
info,registry,people,H Tukrul,a2880cb1
info,registry,people,HGV Vare,98299b67
info,registry,people,John Prakash,b5f3d429
info,registry,people,K Bhurtel,e3386c8a
info,registry,people,K Doriga,365229a8
info,registry,people,KV Morea,270bf7e2
info,registry,people,Karan KC,f53b3e1d
info,registry,people,L Siaka,6b4593ee
info,registry,people,Lokesh Bam,75c8a26b
info,registry,people,N Vanua,a36915ce
info,registry,people,Pratis GC,c1077ba3
info,registry,people,RK Paudel,1a3cc554
info,registry,people,S Bau,9a95bebb
info,registry,people,S Jora,156378d8
info,registry,people,SI Kamea,0730a707
info,registry,people,SJ D'Cruz,ed62962b
info,registry,people,TP Ura,a82eb3fb
