version,2.2.0
info,balls_per_over,6
info,team,West Indies
info,team,England
info,gender,male
info,season,2024/25
info,date,2024/11/10
info,event,England tour of West Indies
info,match_number,2
info,venue,"Kensington Oval, Bridgetown, Barbados"
info,city,Bridgetown
info,toss_winner,England
info,toss_decision,field
info,player_of_match,JC Buttler
info,umpire,DK Butler
info,umpire,GO Brathwaite
info,reserve_umpire,Zahid Bassarath
info,tv_umpire,LS Reifer
info,match_referee,RB Richardson
info,winner,England
info,winner_wickets,7
info,player,West Indies,BA King
info,player,West Indies,E Lewis
info,player,West Indies,N Pooran
info,player,West Indies,RL Chase
info,player,West Indies,R Powell
info,player,West Indies,SE Rutherford
info,player,West Indies,R Shepherd
info,player,West Indies,G Motie
info,player,West Indies,MW Forde
info,player,West Indies,T Hinds
info,player,West Indies,AJ Hosein
info,player,England,PD Salt
info,player,England,WG Jacks
info,player,England,JC Buttler
info,player,England,LS Livingstone
info,player,England,JG Bethell
info,player,England,SM Curran
info,player,England,DR Mousley
info,player,England,J Overton
info,player,England,JC Archer
info,player,England,AU Rashid
info,player,England,S Mahmood
info,registry,people,AJ Hosein,4d7f517e
info,registry,people,AU Rashid,249d60c9
info,registry,people,BA King,7fca84b7
info,registry,people,DK Butler,671398e3
info,registry,people,DR Mousley,876dbe2d
info,registry,people,E Lewis,0ebfb1ad
info,registry,people,G Motie,97bdec3d
info,registry,people,GO Brathwaite,1ace56d4
info,registry,people,J Overton,59559bc2
info,registry,people,JC Archer,5574750c
info,registry,people,JC Buttler,99b75528
info,registry,people,JG Bethell,3c55c703
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,LS Reifer,5dee559a
info,registry,people,MW Forde,83d17bbc
info,registry,people,N Pooran,3241e3fd
info,registry,people,PD Salt,3d284ca3
info,registry,people,R Powell,650d5e49
info,registry,people,R Shepherd,c5aef772
info,registry,people,RB Richardson,410e2f12
info,registry,people,RL Chase,3feda4fa
info,registry,people,S Mahmood,0f6db197
info,registry,people,SE Rutherford,d014d5ac
info,registry,people,SM Curran,e94915e6
info,registry,people,T Hinds,45a62071
info,registry,people,WG Jacks,9caf69a1
info,registry,people,Zahid Bassarath,ca6bf044
