version,2.2.0
info,balls_per_over,6
info,team,Qatar
info,team,Malaysia
info,gender,male
info,season,2022/23
info,date,2022/12/16
info,event,Quadrangular Twenty20 Series (Malaysia)
info,match_number,3
info,venue,"UKM-YSD Cricket Oval, Bangi"
info,city,Bangi
info,toss_winner,Qatar
info,toss_decision,bat
info,player_of_match,Rizwan Haider
info,umpire,T Senthil Kumar
info,umpire,Tabarak Dar
info,reserve_umpire,MA Muniandy
info,match_referee,Edwin Seah
info,winner,Malaysia
info,winner_wickets,8
info,player,Qatar,Kamran Khan
info,player,Qatar,Akash Babu
info,player,Qatar,I Liyanage
info,player,Qatar,Mohammad Rizlan
info,player,Qatar,Muhammad Tanveer
info,player,Qatar,Assad Borham
info,player,Qatar,VN Veetil
info,player,Qatar,Dharmang Patel
info,player,Qatar,Ikramullah Khan
info,player,Qatar,Gayan Munaweera
info,player,Qatar,Mohammed Nadeem
info,player,Malaysia,Zubaidi Zulkifle
info,player,Malaysia,Virandeep Singh
info,player,Malaysia,Ahmed Faiz
info,player,Malaysia,Syed Aziz
info,player,Malaysia,S Muniandy
info,player,Malaysia,Muhammad Amir
info,player,Malaysia,Syed Rehmatullah
info,player,Malaysia,Mohamed Arief
info,player,Malaysia,Fitri Sham
info,player,Malaysia,Khizar Hayat
info,player,Malaysia,Rizwan Haider
info,registry,people,Ahmed Faiz,f6b4f746
info,registry,people,Akash Babu,fb59e5bc
info,registry,people,Assad Borham,219a417a
info,registry,people,Dharmang Patel,643f2e6a
info,registry,people,Edwin Seah,be24f868
info,registry,people,Fitri Sham,d2ec068c
info,registry,people,Gayan Munaweera,62141a22
info,registry,people,I Liyanage,826e1017
info,registry,people,Ikramullah Khan,c6e1354c
info,registry,people,Kamran Khan,922e3dcc
info,registry,people,Khizar Hayat,78bbeba1
info,registry,people,MA Muniandy,bc8d4020
info,registry,people,Mohamed Arief,1087dd78
info,registry,people,Mohammad Rizlan,82afc034
info,registry,people,Mohammed Nadeem,856cbb1e
info,registry,people,Muhammad Amir,60bec5c3
info,registry,people,Muhammad Tanveer,aef39fe4
info,registry,people,Rizwan Haider,dc60abdc
info,registry,people,S Muniandy,57fcfd3b
info,registry,people,Syed Aziz,6667067e
info,registry,people,Syed Rehmatullah,fcbdc2b0
info,registry,people,T Senthil Kumar,961ddfac
info,registry,people,Tabarak Dar,2259c12d
info,registry,people,VN Veetil,3cf5a041
info,registry,people,Virandeep Singh,415d30b6
info,registry,people,Zubaidi Zulkifle,dca8273d
