version,2.2.0
info,balls_per_over,6
info,team,Zimbabwe
info,team,India
info,gender,male
info,season,2024
info,date,2024/07/13
info,event,India tour of Zimbabwe
info,match_number,4
info,venue,Harare Sports Club
info,city,Harare
info,toss_winner,India
info,toss_decision,field
info,player_of_match,YBK Jaiswal
info,umpire,F Mutizwa
info,umpire,I Chabi
info,reserve_umpire,L Rusere
info,tv_umpire,P Sizara
info,match_referee,AJ Pycroft
info,winner,India
info,winner_wickets,10
info,player,Zimbabwe,W Madhevere
info,player,Zimbabwe,T Marumani
info,player,Zimbabwe,BJ Bennett
info,player,Zimbabwe,Sikandar Raza
info,player,Zimbabwe,J Campbell
info,player,Zimbabwe,D Myers
info,player,Zimbabwe,C Madande
info,player,Zimbabwe,M Faraz Akram
info,player,Zimbabwe,B Muzarabani
info,player,Zimbabwe,R Ngarava
info,player,Zimbabwe,TL Chatara
info,player,India,YBK Jaiswal
info,player,India,Shubman Gill
info,player,India,Abhishek Sharma
info,player,India,RD Gaikwad
info,player,India,SV Samson
info,player,India,RK Singh
info,player,India,S Dube
info,player,India,Washington Sundar
info,player,India,Ravi Bishnoi
info,player,India,TU Deshpande
info,player,India,KK Ahmed
info,registry,people,AJ Pycroft,685d3f80
info,registry,people,Abhishek Sharma,f29185a1
info,registry,people,B Muzarabani,449f4e3c
info,registry,people,BJ Bennett,eaa36b2a
info,registry,people,C Madande,3560a786
info,registry,people,D Myers,d96165b5
info,registry,people,F Mutizwa,d3e83eef
info,registry,people,I Chabi,5e39110e
info,registry,people,J Campbell,0e63259d
info,registry,people,KK Ahmed,a2f46292
info,registry,people,L Rusere,6a4734ae
info,registry,people,M Faraz Akram,38214163
info,registry,people,P Sizara,5d45bb7f
info,registry,people,R Ngarava,6e3f5a5c
info,registry,people,RD Gaikwad,45a43fe2
info,registry,people,RK Singh,0a509d6b
info,registry,people,Ravi Bishnoi,df064e1a
info,registry,people,S Dube,a4e37e47
info,registry,people,SV Samson,a4cc73aa
info,registry,people,Shubman Gill,b4b99816
info,registry,people,Sikandar Raza,26d041c4
info,registry,people,T Marumani,3d5d51a5
info,registry,people,TL Chatara,5bbabe59
info,registry,people,TU Deshpande,46a9bea1
info,registry,people,W Madhevere,a879b92c
info,registry,people,Washington Sundar,f19ccfad
info,registry,people,YBK Jaiswal,6c19c6e5
