version,2.2.0
info,balls_per_over,6
info,team,Nepal
info,team,Netherlands
info,gender,female
info,season,2024/25
info,date,2025/02/05
info,event,Nepal Women's T20I Tri-Series
info,match_number,7
info,venue,"Tribhuvan University International Cricket Ground, Kirtipur"
info,city,Kirtipur
info,toss_winner,Nepal
info,toss_decision,bat
info,player_of_match,SL Kalis
info,umpire,BB Pradhan
info,umpire,VK Jha
info,reserve_umpire,Kamalesh Thakur
info,tv_umpire,U Regmi
info,match_referee,Mohammed Shafique
info,winner,Netherlands
info,winner_wickets,10
info,player,Nepal,Samjhana Khadka
info,player,Nepal,MM Chaudhary
info,player,Nepal,I Barma
info,player,Nepal,Puja Mahato
info,player,Nepal,RC Belbashi
info,player,Nepal,K Joshi
info,player,Nepal,SR Magar
info,player,Nepal,M Upadhayay
info,player,Nepal,B Rawal
info,player,Nepal,Roma Thapa
info,player,Nepal,R Chaudhary
info,player,Netherlands,P Molkenboer
info,player,Netherlands,SL Kalis
info,player,Netherlands,R Rijke
info,player,Netherlands,S Siegers
info,player,Netherlands,MIW van den Raad
info,player,Netherlands,IJR Zwilling
info,player,Netherlands,B de Leede
info,player,Netherlands,HDJ Siegers
info,player,Netherlands,C de Lange
info,player,Netherlands,EN Lynch
info,player,Netherlands,HWA Landheer
info,registry,people,B Rawal,4d1cc284
info,registry,people,B de Leede,b3020075
info,registry,people,BB Pradhan,8603d942
info,registry,people,C de Lange,c6a019f5
info,registry,people,EN Lynch,4d35d0b3
info,registry,people,HDJ Siegers,6d48df01
info,registry,people,HWA Landheer,a6ec88f4
info,registry,people,I Barma,521abce2
info,registry,people,IJR Zwilling,47b32a5a
info,registry,people,K Joshi,0cd297b9
info,registry,people,Kamalesh Thakur,6926399e
info,registry,people,M Upadhayay,cdda92be
info,registry,people,MIW van den Raad,dead3b10
info,registry,people,MM Chaudhary,f4b9d4e0
info,registry,people,Mohammed Shafique,a9ca87b8
info,registry,people,P Molkenboer,fa9db243
info,registry,people,Puja Mahato,4b95058b
info,registry,people,R Chaudhary,bc6f4dac
info,registry,people,R Rijke,42e4b276
info,registry,people,RC Belbashi,dfdaca74
info,registry,people,Roma Thapa,05d9faac
info,registry,people,S Siegers,9a58f2c8
info,registry,people,SL Kalis,2b150c6b
info,registry,people,SR Magar,61c22ad0
info,registry,people,Samjhana Khadka,765a2354
info,registry,people,U Regmi,d1ce9fb5
info,registry,people,VK Jha,5d46eb72
