version,2.2.0
info,balls_per_over,6
info,team,United Arab Emirates
info,team,Ireland
info,gender,female
info,season,2024
info,date,2024/04/25
info,event,ICC Women's T20 World Cup Qualifier
info,match_number,2
info,venue,"Zayed Cricket Stadium, Abu Dhabi"
info,city,Abu Dhabi
info,toss_winner,Ireland
info,toss_decision,field
info,player_of_match,EAJ Richardson
info,umpire,K Klaaste
info,umpire,L McCabe
info,reserve_umpire,SB Haig
info,match_referee,SM Bartlett
info,winner,Ireland
info,winner_wickets,6
info,player,United Arab Emirates,ER Oza
info,player,United Arab Emirates,Theertha Satish
info,player,United Arab Emirates,Khushi Sharma
info,player,United Arab Emirates,KKN Egodage
info,player,United Arab Emirates,H Hotchandani
info,player,United Arab Emirates,S Dharnidharka
info,player,United Arab Emirates,Vaishnave Mahesh
info,player,United Arab Emirates,Rinitha Rajith
info,player,United Arab Emirates,L Keny
info,player,United Arab Emirates,Mehak Thakur
info,player,United Arab Emirates,S Gokhale
info,player,Ireland,A Hunter
info,player,Ireland,GH Lewis
info,player,Ireland,O Prendergast
info,player,Ireland,L Delany
info,player,Ireland,R Stokell
info,player,Ireland,EAJ Richardson
info,player,Ireland,L Paul
info,player,Ireland,AN Kelly
info,player,Ireland,A Canning
info,player,Ireland,C Murray
info,player,Ireland,A Dalzell
info,registry,people,A Canning,ffd5fcd8
info,registry,people,A Dalzell,66498395
info,registry,people,A Hunter,e8fa03ed
info,registry,people,AN Kelly,397369e0
info,registry,people,C Murray,5a50471c
info,registry,people,EAJ Richardson,50ee0500
info,registry,people,ER Oza,fdc6b34d
info,registry,people,GH Lewis,1b9d1579
info,registry,people,H Hotchandani,f537d39c
info,registry,people,K Klaaste,6cc1d918
info,registry,people,KKN Egodage,5bb904d4
info,registry,people,Khushi Sharma,a259c414
info,registry,people,L Delany,b4f73b44
info,registry,people,L Keny,aea89d48
info,registry,people,L McCabe,1dbc4a64
info,registry,people,L Paul,07248d8e
info,registry,people,Mehak Thakur,cf712c6d
info,registry,people,O Prendergast,d8f20ba5
info,registry,people,R Stokell,def7b1bb
info,registry,people,Rinitha Rajith,36ba7f0b
info,registry,people,S Dharnidharka,f8b50da3
info,registry,people,S Gokhale,62653085
info,registry,people,SB Haig,811655b3
info,registry,people,SM Bartlett,7ba18406
info,registry,people,Theertha Satish,ee3dcb3f
info,registry,people,Vaishnave Mahesh,31c56f40
