version,2.2.0
info,balls_per_over,6
info,team,Namibia
info,team,Thailand
info,gender,female
info,season,2024/25
info,date,2024/12/04
info,event,Women's T20 Quadrangular Series (in Hong Kong)
info,match_number,1
info,venue,"Mission Road Ground, Mong Kok, Hong Kong"
info,city,Mong Kok
info,toss_winner,Thailand
info,toss_decision,field
info,player_of_match,N Chaiwai
info,umpire,Ramasamy Venkatesh
info,umpire,Sun Meng Yao
info,reserve_umpire,M Henderson
info,match_referee,G Sankaranarayanan
info,winner,Thailand
info,winner_wickets,6
info,player,Namibia,SA Wittmann
info,player,Namibia,E Van Zyl
info,player,Namibia,Yasmeen Khan
info,player,Namibia,W Mwatile
info,player,Namibia,JA Diergaardt
info,player,Namibia,M Mwatile
info,player,Namibia,M Gorases
info,player,Namibia,SN Shihepo
info,player,Namibia,KA Green
info,player,Namibia,I van Zyl
info,player,Namibia,V Hamunyela
info,player,Thailand,N Boochatham
info,player,Thailand,N Koncharoenkai
info,player,Thailand,A Suwanchonrathi
info,player,Thailand,N Chaiwai
info,player,Thailand,C Sutthiruang
info,player,Thailand,P Maya
info,player,Thailand,S Laomi
info,player,Thailand,T Putthawong
info,player,Thailand,S Khiaoto
info,player,Thailand,R Kanoh
info,player,Thailand,S Chaturongrattana
info,registry,people,A Suwanchonrathi,43a2244f
info,registry,people,C Sutthiruang,f6ddfe08
info,registry,people,E Van Zyl,79ff52b5
info,registry,people,G Sankaranarayanan,a4a348f9
info,registry,people,I van Zyl,44c3cb6d
info,registry,people,JA Diergaardt,b72a8938
info,registry,people,KA Green,fa9fdefa
info,registry,people,M Gorases,d034d60a
info,registry,people,M Henderson,181f85d0
info,registry,people,M Mwatile,92b9e9af
info,registry,people,N Boochatham,58acb320
info,registry,people,N Chaiwai,0825e4b3
info,registry,people,N Koncharoenkai,82c78412
info,registry,people,P Maya,72eada4c
info,registry,people,R Kanoh,5959370f
info,registry,people,Ramasamy Venkatesh,8ad68ea7
info,registry,people,S Chaturongrattana,bd36bc39
info,registry,people,S Khiaoto,3ac854ca
info,registry,people,S Laomi,4b15618c
info,registry,people,SA Wittmann,531aef3b
info,registry,people,SN Shihepo,1b3f7dbb
info,registry,people,Sun Meng Yao,84a96566
info,registry,people,T Putthawong,23e3f2d6
info,registry,people,V Hamunyela,d758a366
info,registry,people,W Mwatile,5728635a
info,registry,people,Yasmeen Khan,ade5c0c0
