version,2.2.0
info,balls_per_over,6
info,team,Denmark
info,team,Finland
info,gender,male
info,season,2023
info,date,2023/05/18
info,event,Nordic T20 Cup
info,match_number,2
info,venue,"Svanholm Park, Brondby"
info,city,Brondby
info,toss_winner,Denmark
info,toss_decision,bat
info,player_of_match,SA Ahmad
info,umpire,AK Saini
info,umpire,Fareedoon Bhatti
info,winner,Denmark
info,winner_runs,72
info,player,Denmark,ND Laegsgaard
info,player,Denmark,HAM Shah
info,player,Denmark,S Thanikaithasan
info,player,Denmark,SA Ahmad
info,player,Denmark,Lucky Ali
info,player,Denmark,Surya Anand
info,player,Denmark,Musa Shaheen
info,player,Denmark,Abdul Hashim
info,player,Denmark,Saud Munir
info,player,Denmark,Abdullah Mahmood
info,player,Denmark,OD Hald
info,player,Finland,Jordan O'Brien
info,player,Finland,NG Collins
info,player,Finland,AK Mohan
info,player,Finland,VS Padhaal
info,player,Finland,M Jenkinson
info,player,Finland,Atif Rasheed
info,player,Finland,PF Gallagher
info,player,Finland,Amjad Sher
info,player,Finland,MB Tambe
info,player,Finland,Akhil Arjunan
info,player,Finland,Raaz Mohammad
info,registry,people,AK Mohan,d55474ac
info,registry,people,AK Saini,894ebe7e
info,registry,people,Abdul Hashim,73b1db79
info,registry,people,Abdullah Mahmood,926c6d3c
info,registry,people,Akhil Arjunan,2b203501
info,registry,people,Amjad Sher,3b4a8cfb
info,registry,people,Atif Rasheed,c7726eec
info,registry,people,Fareedoon Bhatti,534c3dbe
info,registry,people,HAM Shah,007113d7
info,registry,people,Jordan O'Brien,c31d7da1
info,registry,people,Lucky Ali,28b032ac
info,registry,people,M Jenkinson,68f7caf9
info,registry,people,MB Tambe,1c1bb0d5
info,registry,people,Musa Shaheen,6709b2de
info,registry,people,ND Laegsgaard,b0f2d3bd
info,registry,people,NG Collins,be3bdc15
info,registry,people,OD Hald,38189be1
info,registry,people,PF Gallagher,8e9d3dc4
info,registry,people,Raaz Mohammad,f83b77f9
info,registry,people,S Thanikaithasan,498aacac
info,registry,people,SA Ahmad,8de618ab
info,registry,people,Saud Munir,5902f2eb
info,registry,people,Surya Anand,ef141f36
info,registry,people,VS Padhaal,c4fb0b39
