version,2.2.0
info,balls_per_over,6
info,team,United States of America
info,team,Bangladesh
info,gender,male
info,season,2024
info,date,2024/05/25
info,event,Bangladesh tour of United States of America
info,match_number,3
info,venue,Prairie View Cricket Complex
info,city,Houston
info,toss_winner,Bangladesh
info,toss_decision,field
info,player_of_match,Mustafizur Rahman
info,umpire,SN Bandekar
info,umpire,Vijaya Mallela
info,reserve_umpire,Jermaine Lindo
info,tv_umpire,A Gajjar
info,match_referee,Denavon Hayles
info,winner,Bangladesh
info,winner_wickets,10
info,player,United States of America,Shayan Jahangir
info,player,United States of America,AGS Gous
info,player,United States of America,NR Kumar
info,player,United States of America,Milind Kumar
info,player,United States of America,Aaron Jones
info,player,United States of America,CJ Anderson
info,player,United States of America,SC van Schalkwyk
info,player,United States of America,Jasdeep Singh
info,player,United States of America,NK Patel
info,player,United States of America,NP Kenjige
info,player,United States of America,SN Netravalkar
info,player,Bangladesh,Tanzid Hasan
info,player,Bangladesh,Soumya Sarkar
info,player,Bangladesh,Liton Das
info,player,Bangladesh,Nazmul Hossain Shanto
info,player,Bangladesh,Shakib Al Hasan
info,player,Bangladesh,Towhid Hridoy
info,player,Bangladesh,Mahmudullah
info,player,Bangladesh,Rishad Hossain
info,player,Bangladesh,Mustafizur Rahman
info,player,Bangladesh,Tanzim Hasan Sakib
info,player,Bangladesh,Hasan Mahmud
info,registry,people,A Gajjar,37db06ef
info,registry,people,AGS Gous,d1305df0
info,registry,people,Aaron Jones,17aa4f1d
info,registry,people,CJ Anderson,8abdf100
info,registry,people,Denavon Hayles,5cbeeb02
info,registry,people,Hasan Mahmud,80ad39ac
info,registry,people,Jasdeep Singh,5ec41cd7
info,registry,people,Jermaine Lindo,1154bf4f
info,registry,people,Liton Das,0404d43c
info,registry,people,Mahmudullah,bf1d7d3e
info,registry,people,Milind Kumar,b4296080
info,registry,people,Mustafizur Rahman,0a8fce53
info,registry,people,NK Patel,c6e10e5c
info,registry,people,NP Kenjige,f7d267f7
info,registry,people,NR Kumar,b3bad3f2
info,registry,people,Nazmul Hossain Shanto,1274d7ab
info,registry,people,Rishad Hossain,5935d694
info,registry,people,SC van Schalkwyk,97b0e4ff
info,registry,people,SN Bandekar,350528bb
info,registry,people,SN Netravalkar,c8a3f688
info,registry,people,Shakib Al Hasan,7dc35884
info,registry,people,Shayan Jahangir,571e1d2a
info,registry,people,Soumya Sarkar,4d9f9686
info,registry,people,Tanzid Hasan,80fe764d
info,registry,people,Tanzim Hasan Sakib,0b0cc297
info,registry,people,Towhid Hridoy,9e52a414
info,registry,people,Vijaya Mallela,85b6244a
