version,2.2.0
info,balls_per_over,6
info,team,Cayman Islands
info,team,Panama
info,gender,male
info,season,2024/25
info,date,2024/12/07
info,event,ICC Men's T20 World Cup Sub Regional Americas Qualifier
info,match_number,8
info,venue,"St George's College Ground, Buenos Aires"
info,city,Buenos Aires
info,toss_winner,Cayman Islands
info,toss_decision,bat
info,player_of_match,A Wright
info,umpire,H Grewal
info,umpire,Vijaya Mallela
info,reserve_umpire,R Shah
info,match_referee,Phil Whitticase
info,winner,Cayman Islands
info,winner_runs,83
info,player,Cayman Islands,J Baker
info,player,Cayman Islands,YSD Seneveratne
info,player,Cayman Islands,AR Naidoo
info,player,Cayman Islands,RA Sealy
info,player,Cayman Islands,S Foster
info,player,Cayman Islands,R Walker
info,player,Cayman Islands,ROC Dunka
info,player,Cayman Islands,T Taylor
info,player,Cayman Islands,A Wright
info,player,Cayman Islands,C Wright
info,player,Cayman Islands,A Morris
info,player,Panama,YI Kachhalia
info,player,Panama,Breeze Ahir
info,player,Panama,Yusuf Ebrahim
info,player,Panama,A Natubhai Ahir
info,player,Panama,Irfan Hafejee
info,player,Panama,Mahmud Jasat
info,player,Panama,P Jayeshbhai Patel
info,player,Panama,Sohel Ebrahim Desai
info,player,Panama,DK Dahyabhai Ahir
info,player,Panama,AM Patel
info,player,Panama,Sanjay Kumar Ahir
info,registry,people,A Morris,04cf2e94
info,registry,people,A Natubhai Ahir,9c91218d
info,registry,people,A Wright,4bb7f51e
info,registry,people,AM Patel,a09323d8
info,registry,people,AR Naidoo,68886c16
info,registry,people,Breeze Ahir,da09ca26
info,registry,people,C Wright,d465c6d7
info,registry,people,DK Dahyabhai Ahir,ce9ee68f
info,registry,people,H Grewal,1172f36e
info,registry,people,Irfan Hafejee,244009ae
info,registry,people,J Baker,a12672e0
info,registry,people,Mahmud Jasat,97e36a0f
info,registry,people,P Jayeshbhai Patel,3317dc7a
info,registry,people,Phil Whitticase,99d5f6fa
info,registry,people,R Shah,3424e050
info,registry,people,R Walker,be37d889
info,registry,people,RA Sealy,1e98804a
info,registry,people,ROC Dunka,762f43b7
info,registry,people,S Foster,3595ad3b
info,registry,people,Sanjay Kumar Ahir,d11e0c76
info,registry,people,Sohel Ebrahim Desai,3ec178e7
info,registry,people,T Taylor,1d6e8f52
info,registry,people,Vijaya Mallela,85b6244a
info,registry,people,YI Kachhalia,61650adb
info,registry,people,YSD Seneveratne,0f71478c
info,registry,people,Yusuf Ebrahim,2d5c6e88
