version,2.2.0
info,balls_per_over,6
info,team,Bangladesh
info,team,New Zealand
info,gender,male
info,season,2023/24
info,date,2023/12/31
info,event,Bangladesh tour of New Zealand
info,match_number,3
info,venue,"Bay Oval, Mount Maunganui"
info,city,Mount Maunganui
info,toss_winner,New Zealand
info,toss_decision,field
info,player_of_match,MJ Santner
info,umpire,CM Brown
info,umpire,WR Knights
info,reserve_umpire,Kim Cotton
info,tv_umpire,SB Haig
info,match_referee,JJ Crowe
info,winner,New Zealand
info,winner_runs,17
info,method,D/L
info,player,Bangladesh,Soumya Sarkar
info,player,Bangladesh,Rony Talukdar
info,player,Bangladesh,Nazmul Hossain Shanto
info,player,Bangladesh,Towhid Hridoy
info,player,Bangladesh,Afif Hossain
info,player,Bangladesh,Shamim Hossain
info,player,Bangladesh,Mahedi Hasan
info,player,Bangladesh,Rishad Hossain
info,player,Bangladesh,Shoriful Islam
info,player,Bangladesh,Tanvir Islam
info,player,Bangladesh,Mustafizur Rahman
info,player,New Zealand,FH Allen
info,player,New Zealand,TL Seifert
info,player,New Zealand,DJ Mitchell
info,player,New Zealand,GD Phillips
info,player,New Zealand,MS Chapman
info,player,New Zealand,JDS Neesham
info,player,New Zealand,MJ Santner
info,player,New Zealand,AF Milne
info,player,New Zealand,TG Southee
info,player,New Zealand,IS Sodhi
info,player,New Zealand,BV Sears
info,registry,people,AF Milne,350bb1b1
info,registry,people,Afif Hossain,37138918
info,registry,people,BV Sears,e1891e00
info,registry,people,CM Brown,448f4f1c
info,registry,people,DJ Mitchell,eade4650
info,registry,people,FH Allen,bf74b130
info,registry,people,GD Phillips,9a46c4e5
info,registry,people,IS Sodhi,641ac5ff
info,registry,people,JDS Neesham,9219eff0
info,registry,people,JJ Crowe,2e760301
info,registry,people,Kim Cotton,67a7c2ee
info,registry,people,MJ Santner,e4a0deae
info,registry,people,MS Chapman,7fa12533
info,registry,people,Mahedi Hasan,9dad0f2e
info,registry,people,Mustafizur Rahman,0a8fce53
info,registry,people,Nazmul Hossain Shanto,1274d7ab
info,registry,people,Rishad Hossain,5935d694
info,registry,people,Rony Talukdar,8bd614b2
info,registry,people,SB Haig,811655b3
info,registry,people,Shamim Hossain,711249d1
info,registry,people,Shoriful Islam,bb34fd31
info,registry,people,Soumya Sarkar,4d9f9686
info,registry,people,TG Southee,13c35c9e
info,registry,people,TL Seifert,4663bd23
info,registry,people,Tanvir Islam,aa467af0
info,registry,people,Towhid Hridoy,9e52a414
info,registry,people,WR Knights,63cbf8d8
