version,2.2.0
info,balls_per_over,6
info,team,Nepal
info,team,United States of America
info,gender,male
info,season,2024/25
info,date,2024/10/19
info,event,Nepal tour of United States of America
info,match_number,2
info,venue,"Grand Prairie Stadium, Dallas"
info,city,Dallas
info,toss_winner,Nepal
info,toss_decision,bat
info,player_of_match,K Bhurtel
info,umpire,A Gajjar
info,umpire,SN Bandekar
info,reserve_umpire,Vijaya Mallela
info,match_referee,DA Cosker
info,outcome,tie
info,eliminator,Nepal
info,player,Nepal,AK Sah
info,player,Nepal,Aasif Sheikh
info,player,Nepal,K Bhurtel
info,player,Nepal,Gulsan Jha
info,player,Nepal,RK Paudel
info,player,Nepal,DS Airee
info,player,Nepal,Aarif Sheikh
info,player,Nepal,Karan KC
info,player,Nepal,Sompal Kami
info,player,Nepal,R Dhakal
info,player,Nepal,S Dhakal
info,player,United States of America,MD Patel
info,player,United States of America,SR Mukkamalla
info,player,United States of America,AGS Gous
info,player,United States of America,Aaron Jones
info,player,United States of America,Milind Kumar
info,player,United States of America,Shayan Jahangir
info,player,United States of America,Harmeet Singh
info,player,United States of America,Jasdeep Singh
info,player,United States of America,Ali Khan
info,player,United States of America,NP Kenjige
info,player,United States of America,SN Netravalkar
info,registry,people,A Gajjar,37db06ef
info,registry,people,AGS Gous,d1305df0
info,registry,people,AK Sah,5b1d6583
info,registry,people,Aarif Sheikh,cd4d7695
info,registry,people,Aaron Jones,17aa4f1d
info,registry,people,Aasif Sheikh,dcbea954
info,registry,people,Ali Khan,b0eaaac6
info,registry,people,DA Cosker,aac9f784
info,registry,people,DS Airee,1747ea18
info,registry,people,Gulsan Jha,9811e35e
info,registry,people,Harmeet Singh,0bf15e52
info,registry,people,Jasdeep Singh,5ec41cd7
info,registry,people,K Bhurtel,e3386c8a
info,registry,people,Karan KC,f53b3e1d
info,registry,people,MD Patel,25d7f1ac
info,registry,people,Milind Kumar,b4296080
info,registry,people,NP Kenjige,f7d267f7
info,registry,people,R Dhakal,8399a7af
info,registry,people,RK Paudel,1a3cc554
info,registry,people,S Dhakal,8955b928
info,registry,people,SN Bandekar,350528bb
info,registry,people,SN Netravalkar,c8a3f688
info,registry,people,SR Mukkamalla,156d0ea2
info,registry,people,Shayan Jahangir,571e1d2a
info,registry,people,Sompal Kami,1adb8ee8
info,registry,people,Vijaya Mallela,85b6244a
