version,2.2.0
info,balls_per_over,6
info,team,Denmark
info,team,Ireland
info,gender,male
info,season,2023
info,date,2023/07/21
info,event,ICC Men's T20 World Cup Europe Region Qualifier
info,match_number,4
info,venue,"Grange Cricket Club Ground, Raeburn Place, Edinburgh"
info,city,Edinburgh
info,toss_winner,Denmark
info,toss_decision,bat
info,player_of_match,A Balbirnie
info,umpire,DH Mclean
info,umpire,R Black
info,reserve_umpire,J Jensen
info,match_referee,Phil Whitticase
info,winner,Ireland
info,winner_wickets,9
info,player,Denmark,ND Laegsgaard
info,player,Denmark,Musa Shaheen
info,player,Denmark,T Bharaj
info,player,Denmark,SA Ahmad
info,player,Denmark,S Thanikaithasan
info,player,Denmark,Lucky Ali
info,player,Denmark,Abdul Hashim
info,player,Denmark,OD Hald
info,player,Denmark,Saud Munir
info,player,Denmark,JS Henriksen
info,player,Denmark,Abdullah Mahmood
info,player,Ireland,A Balbirnie
info,player,Ireland,PR Stirling
info,player,Ireland,L Tucker
info,player,Ireland,HT Tector
info,player,Ireland,C Campher
info,player,Ireland,GH Dockrell
info,player,Ireland,NA Rock
info,player,Ireland,MR Adair
info,player,Ireland,BJ McCarthy
info,player,Ireland,J Little
info,player,Ireland,B White
info,registry,people,A Balbirnie,6ef13460
info,registry,people,Abdul Hashim,73b1db79
info,registry,people,Abdullah Mahmood,926c6d3c
info,registry,people,B White,1a448be0
info,registry,people,BJ McCarthy,3766056b
info,registry,people,C Campher,478a63e7
info,registry,people,DH Mclean,281d4749
info,registry,people,GH Dockrell,99cddc5e
info,registry,people,HT Tector,59ea70a4
info,registry,people,J Jensen,fc80e7a2
info,registry,people,J Little,9061a703
info,registry,people,JS Henriksen,2c6052a6
info,registry,people,L Tucker,3979b5e0
info,registry,people,Lucky Ali,28b032ac
info,registry,people,MR Adair,fc55ec67
info,registry,people,Musa Shaheen,6709b2de
info,registry,people,NA Rock,43f4087c
info,registry,people,ND Laegsgaard,b0f2d3bd
info,registry,people,OD Hald,38189be1
info,registry,people,PR Stirling,cf494ffe
info,registry,people,Phil Whitticase,99d5f6fa
info,registry,people,R Black,156c8fb1
info,registry,people,S Thanikaithasan,498aacac
info,registry,people,SA Ahmad,8de618ab
info,registry,people,Saud Munir,5902f2eb
info,registry,people,T Bharaj,49556abb
