version,2.2.0
info,balls_per_over,6
info,team,India
info,team,West Indies
info,gender,female
info,season,2024/25
info,date,2024/12/15
info,event,West Indies Women tour of India
info,match_number,1
info,venue,"Dr DY Patil Sports Academy, Navi Mumbai"
info,city,Navi Mumbai
info,toss_winner,West Indies
info,toss_decision,field
info,player_of_match,JI Rodrigues
info,umpire,Eloise Sheridan
info,umpire,KM Gandhi
info,reserve_umpire,AS Guha
info,tv_umpire,M Krishnadas
info,match_referee,V Narayan Kutty
info,winner,India
info,winner_runs,49
info,player,India,S Mandhana
info,player,India,U Chetry
info,player,India,JI Rodrigues
info,player,India,RM Ghosh
info,player,India,H Kaur
info,player,India,S Sajana
info,player,India,DB Sharma
info,player,India,RP Yadav
info,player,India,SZ Thakor
info,player,India,TR Sadhu
info,player,India,Renuka Singh
info,player,West Indies,HK Matthews
info,player,West Indies,Q Joseph
info,player,West Indies,SA Campbelle
info,player,West Indies,DJS Dottin
info,player,West Indies,CA Henry
info,player,West Indies,S Gajnabi
info,player,West Indies,ASS Fletcher
info,player,West Indies,Z James
info,player,West Indies,M Mangru
info,player,West Indies,K Ramharack
info,player,West Indies,SS Connell
info,registry,people,AS Guha,c21b184d
info,registry,people,ASS Fletcher,42d9dd09
info,registry,people,CA Henry,75820733
info,registry,people,DB Sharma,201fef33
info,registry,people,DJS Dottin,53bee17f
info,registry,people,Eloise Sheridan,d8d43840
info,registry,people,H Kaur,53cd8da6
info,registry,people,HK Matthews,d32cf49a
info,registry,people,JI Rodrigues,cb08b611
info,registry,people,K Ramharack,321c980e
info,registry,people,KM Gandhi,a9421c64
info,registry,people,M Krishnadas,e298c588
info,registry,people,M Mangru,b9fec7a5
info,registry,people,M Mani,8d1ade08
info,registry,people,Q Joseph,d6164dc0
info,registry,people,RM Ghosh,721e0199
info,registry,people,RP Yadav,6c3aef71
info,registry,people,Renuka Singh,7298db76
info,registry,people,S Gajnabi,c35739a1
info,registry,people,S Mandhana,5d2eda89
info,registry,people,S Sajana,a4dcac97
info,registry,people,SA Campbelle,a7cd72b2
info,registry,people,SS Connell,2f9a6bd1
info,registry,people,SZ Thakor,7d794fa6
info,registry,people,TR Sadhu,25ca0573
info,registry,people,U Chetry,8f8f94fd
info,registry,people,V Narayan Kutty,4bacee3d
info,registry,people,Z James,816af623
