version,2.2.0
info,balls_per_over,6
info,team,Uganda
info,team,Thailand
info,gender,female
info,season,2024
info,date,2024/04/29
info,event,ICC Women's T20 World Cup Qualifier
info,match_number,11
info,venue,"Tolerance Oval, Abu Dhabi"
info,city,Abu Dhabi
info,toss_winner,Thailand
info,toss_decision,field
info,player_of_match,N Chantam
info,umpire,LDVV Silva
info,umpire,N Janani
info,reserve_umpire,SB Haig
info,match_referee,SM Bartlett
info,winner,Thailand
info,winner_wickets,9
info,player,Uganda,P Alako
info,player,Uganda,I Nakisuuyi
info,player,Uganda,J Mbabazi
info,player,Uganda,S Nampiina
info,player,Uganda,R Musamali
info,player,Uganda,K Awino
info,player,Uganda,PE Kulume
info,player,Uganda,M Ariokot
info,player,Uganda,S Walaza
info,player,Uganda,C Aweko
info,player,Uganda,S Akiteng
info,player,Thailand,N Boochatham
info,player,Thailand,N Chantam
info,player,Thailand,N Koncharoenkai
info,player,Thailand,N Chaiwai
info,player,Thailand,C Sutthiruang
info,player,Thailand,P Maya
info,player,Thailand,S Khiaoto
info,player,Thailand,T Putthawong
info,player,Thailand,O Kamchomphu
info,player,Thailand,S Laomi
info,player,Thailand,S Chaturongrattana
info,registry,people,C Aweko,01c1b96c
info,registry,people,C Sutthiruang,f6ddfe08
info,registry,people,I Nakisuuyi,2f145a4f
info,registry,people,J Mbabazi,aaa6e84c
info,registry,people,K Awino,c4e7749a
info,registry,people,LDVV Silva,6e226c31
info,registry,people,M Ariokot,c328bc6c
info,registry,people,N Boochatham,58acb320
info,registry,people,N Chaiwai,0825e4b3
info,registry,people,N Chantam,b5626ff7
info,registry,people,N Janani,d06a665d
info,registry,people,N Koncharoenkai,82c78412
info,registry,people,O Kamchomphu,519b872a
info,registry,people,P Alako,fcf37e14
info,registry,people,P Maya,72eada4c
info,registry,people,PE Kulume,bb1a5f8a
info,registry,people,R Musamali,017cadb2
info,registry,people,S Akiteng,cf92d76b
info,registry,people,S Chaturongrattana,bd36bc39
info,registry,people,S Khiaoto,3ac854ca
info,registry,people,S Laomi,4b15618c
info,registry,people,S Nampiina,91d9aa26
info,registry,people,S Walaza,f67ea6d2
info,registry,people,SB Haig,811655b3
info,registry,people,SM Bartlett,7ba18406
info,registry,people,T Putthawong,23e3f2d6
