version,2.2.0
info,balls_per_over,6
info,team,Bahrain
info,team,Bhutan
info,gender,male
info,season,2024/25
info,date,2024/11/23
info,event,ICC Men's T20 World Cup Asia Qualifier B
info,match_number,10
info,venue,"West End Park International Cricket Stadium, Doha"
info,city,Doha
info,toss_winner,Bhutan
info,toss_decision,field
info,player_of_match,Haider Butt
info,umpire,Ahmed Shah Durrani
info,umpire,Shivani Mishra
info,reserve_umpire,Akbar Ali
info,match_referee,Ali Naqvi
info,winner,Bahrain
info,winner_runs,90
info,player,Bahrain,Imran Ali Butt
info,player,Bahrain,Sohail Ahmed
info,player,Bahrain,Imran Anwar
info,player,Bahrain,Asif Ali
info,player,Bahrain,Haider Butt
info,player,Bahrain,Ahmer Bin Nisar
info,player,Bahrain,Rizwan Butt
info,player,Bahrain,Fiaz Ahmed
info,player,Bahrain,Ali Dawood
info,player,Bahrain,Abdul Majid Abbasi
info,player,Bahrain,Imran Khan
info,player,Bhutan,S Pradhan
info,player,Bhutan,Tenjin Rabgey
info,player,Bhutan,T Jamtsho
info,player,Bhutan,Namgay Thinley
info,player,Bhutan,RM Dorji
info,player,Bhutan,J Singye
info,player,Bhutan,GK Ghalley
info,player,Bhutan,T Wangchuk
info,player,Bhutan,Tshering Tashi
info,player,Bhutan,D Dawa
info,player,Bhutan,S Yeshi
info,registry,people,Abdul Majid Abbasi,0cfb42b5
info,registry,people,Ahmed Shah Durrani,af23265a
info,registry,people,Ahmer Bin Nisar,afbc53ba
info,registry,people,Akbar Ali,e753931d
info,registry,people,Ali Dawood,596982e6
info,registry,people,Ali Naqvi,3c89fc88
info,registry,people,Asif Ali,0a4736eb
info,registry,people,D Dawa,676aeb1b
info,registry,people,Fiaz Ahmed,df1f2f29
info,registry,people,GK Ghalley,2d1b6dee
info,registry,people,Haider Butt,14fd10b5
info,registry,people,Imran Ali Butt,5d60560f
info,registry,people,Imran Anwar,a9a18e3e
info,registry,people,Imran Khan,da3b91fd
info,registry,people,J Singye,28574428
info,registry,people,Junaid Aziz,c39ee9e0
info,registry,people,Namgay Thinley,9c333e40
info,registry,people,RM Dorji,3d7f02d4
info,registry,people,Rizwan Butt,e741ed8f
info,registry,people,S Pradhan,04f0d409
info,registry,people,S Yeshi,0c24fb7b
info,registry,people,Shivani Mishra,2982a0c7
info,registry,people,Sohail Ahmed,4db71b2e
info,registry,people,T Jamtsho,c01d1c0a
info,registry,people,T Wangchuk,39799e49
info,registry,people,Tenjin Rabgey,1fed517a
info,registry,people,Tshering Tashi,596c60cf
