version,2.2.0
info,balls_per_over,6
info,team,Cayman Islands
info,team,Brazil
info,gender,male
info,season,2024/25
info,date,2024/12/14
info,event,ICC Men's T20 World Cup Sub Regional Americas Qualifier
info,match_number,25
info,venue,"St Albans Club, Buenos Aires"
info,city,Buenos Aires
info,toss_winner,Cayman Islands
info,toss_decision,bat
info,player_of_match,YSD Seneveratne
info,umpire,AR Maddela
info,umpire,H Grewal
info,reserve_umpire,M Abbott
info,match_referee,Phil Whitticase
info,winner,Cayman Islands
info,winner_runs,159
info,player,Cayman Islands,J Baker
info,player,Cayman Islands,YSD Seneveratne
info,player,Cayman Islands,AR Naidoo
info,player,Cayman Islands,RA Sealy
info,player,Cayman Islands,C Wright
info,player,Cayman Islands,S Foster
info,player,Cayman Islands,A Morris
info,player,Cayman Islands,AF Ifill
info,player,Cayman Islands,T Taylor
info,player,Cayman Islands,Ronald Ebanks
info,player,Cayman Islands,D Johnson
info,player,Brazil,G Caisley
info,player,Brazil,LH Rodrigues
info,player,Brazil,LF Muller
info,player,Brazil,W Maximo
info,player,Brazil,Yasar Haroon
info,player,Brazil,MFI Assuncao
info,player,Brazil,VRCF Poubel
info,player,Brazil,L Maximo
info,player,Brazil,R Avery
info,player,Brazil,G Oliveira
info,player,Brazil,IC Simao
info,registry,people,A Morris,04cf2e94
info,registry,people,AF Ifill,0e6c2f00
info,registry,people,AR Maddela,5c861579
info,registry,people,AR Naidoo,68886c16
info,registry,people,C Wright,d465c6d7
info,registry,people,D Johnson,d406e303
info,registry,people,G Caisley,0f06d3cd
info,registry,people,G Oliveira,b4c52f5f
info,registry,people,H Grewal,1172f36e
info,registry,people,IC Simao,dcc76384
info,registry,people,J Baker,a12672e0
info,registry,people,L Maximo,58c0c30c
info,registry,people,LF Muller,f6411545
info,registry,people,LH Rodrigues,57c95c3c
info,registry,people,M Abbott,3e5f0c04
info,registry,people,MFI Assuncao,d8e48e1b
info,registry,people,Phil Whitticase,99d5f6fa
info,registry,people,R Avery,094ebfb6
info,registry,people,RA Sealy,1e98804a
info,registry,people,Ronald Ebanks,e21ef7ec
info,registry,people,S Foster,3595ad3b
info,registry,people,T Taylor,1d6e8f52
info,registry,people,VRCF Poubel,1e3da0b7
info,registry,people,W Maximo,e41dee27
info,registry,people,YSD Seneveratne,0f71478c
info,registry,people,Yasar Haroon,5a8dc41e
