version,2.2.0
info,balls_per_over,6
info,team,Hungary
info,team,Czech Republic
info,gender,male
info,season,2023
info,date,2023/06/11
info,event,Hungary tour of Czech Republic
info,match_number,3
info,venue,"Scott Page Field, Vinor"
info,city,Prague
info,toss_winner,Hungary
info,toss_decision,bat
info,player_of_match,S Wickramasekara
info,winner,Czech Republic
info,winner_wickets,3
info,player,Hungary,V Ravindran
info,player,Hungary,Abhijeet Ahuja
info,player,Hungary,Zeeshan Kukikhel
info,player,Hungary,Abhishek Ahuja
info,player,Hungary,Zahir Mohammed
info,player,Hungary,Ali Farasat
info,player,Hungary,A Kheterpal
info,player,Hungary,A Prashar
info,player,Hungary,Ali Yalmaz
info,player,Hungary,SA Mohandas
info,player,Hungary,BP Adapaka
info,player,Czech Republic,S Davizi
info,player,Czech Republic,Divyendra Singh
info,player,Czech Republic,P Khari
info,player,Czech Republic,S Wickramasekara
info,player,Czech Republic,A Ashokan
info,player,Czech Republic,Sazib Bhuiyan
info,player,Czech Republic,Riaz Afridi
info,player,Czech Republic,S Grover
info,player,Czech Republic,Naveed Ahmed
info,player,Czech Republic,Abul Farhad
info,player,Czech Republic,N Tyagi
info,registry,people,A Ashokan,9244df4b
info,registry,people,A Kheterpal,2deb4082
info,registry,people,A Prashar,b18dbaff
info,registry,people,Abhijeet Ahuja,b91083bd
info,registry,people,Abhishek Ahuja,65cf74b4
info,registry,people,Abul Farhad,f7cb7c3a
info,registry,people,Ali Farasat,5845b99b
info,registry,people,Ali Yalmaz,026e1314
info,registry,people,BP Adapaka,e6082b10
info,registry,people,Divyendra Singh,7f122e0b
info,registry,people,N Tyagi,53984f75
info,registry,people,Naveed Ahmed,87609cbb
info,registry,people,P Khari,bb791276
info,registry,people,Riaz Afridi,281ce63c
info,registry,people,S Davizi,5787be00
info,registry,people,S Grover,c2a6e61f
info,registry,people,S Wickramasekara,a9a09cb8
info,registry,people,SA Mohandas,8b0b3bba
info,registry,people,Sazib Bhuiyan,e5464794
info,registry,people,V Ravindran,e5ecb1ef
info,registry,people,Zahir Mohammed,7c38942a
info,registry,people,Zeeshan Kukikhel,5d6a1f76
