version,2.2.0
info,balls_per_over,6
info,team,Panama
info,team,Argentina
info,gender,male
info,season,2022/23
info,date,2023/02/25
info,event,ICC Men's T20 World Cup Americas Region Qualifier
info,match_number,1
info,venue,"Hurlingham Club Ground, Buenos Aires"
info,city,Buenos Aires
info,toss_winner,Argentina
info,toss_decision,field
info,umpire,AR Maddela
info,umpire,Jermaine Lindo
info,reserve_umpire,Emmerson Carrington
info,match_referee,Reon King
info,winner,Panama
info,winner_runs,53
info,player,Panama,Mahmud Jasat
info,player,Panama,M Sohel Patel
info,player,Panama,Sohel Patel
info,player,Panama,VC Ahir
info,player,Panama,Irfan Hafejee
info,player,Panama,A Natubhai Ahir
info,player,Panama,RDB Ahir
info,player,Panama,FL Patel
info,player,Panama,Ahmadi Ravat
info,player,Panama,AM Patel
info,player,Panama,KB Ahir
info,player,Argentina,P Baron
info,player,Argentina,LA Musiani
info,player,Argentina,A Ferguson
info,player,Argentina,R Escobar
info,player,Argentina,A Kirschbaum
info,player,Argentina,T Rossi
info,player,Argentina,S Rossi
info,player,Argentina,AAP Rivero
info,player,Argentina,P Arrighi
info,player,Argentina,H Fennell
info,player,Argentina,A Husain
info,registry,people,A Ferguson,4a8d1b14
info,registry,people,A Husain,034d3c52
info,registry,people,A Kirschbaum,d953bf92
info,registry,people,A Natubhai Ahir,9c91218d
info,registry,people,AAP Rivero,1911dcbc
info,registry,people,AM Patel,a09323d8
info,registry,people,AR Maddela,5c861579
info,registry,people,Ahmadi Ravat,a90e8bcf
info,registry,people,Emmerson Carrington,a428109a
info,registry,people,FL Patel,e205ce8b
info,registry,people,H Fennell,0d38ab25
info,registry,people,Irfan Hafejee,244009ae
info,registry,people,Jermaine Lindo,1154bf4f
info,registry,people,KB Ahir,214cf493
info,registry,people,LA Musiani,efbd35a9
info,registry,people,M Sohel Patel,40a5bcf9
info,registry,people,Mahmud Jasat,97e36a0f
info,registry,people,P Arrighi,79e754db
info,registry,people,P Baron,c6d1b1e4
info,registry,people,R Escobar,9fa5496f
info,registry,people,RDB Ahir,2f6f44bb
info,registry,people,Reon King,20fbf68c
info,registry,people,S Rossi,56544f81
info,registry,people,Sohel Patel,9ac70727
info,registry,people,T Rossi,5470418a
info,registry,people,VC Ahir,0bb68705
