version,2.2.0
info,balls_per_over,6
info,team,United Arab Emirates
info,team,Qatar
info,gender,male
info,season,2024/25
info,date,2024/11/26
info,event,ICC Men's T20 World Cup Asia Qualifier B
info,match_number,18
info,venue,"West End Park International Cricket Stadium, Doha"
info,city,Doha
info,toss_winner,United Arab Emirates
info,toss_decision,bat
info,player_of_match,Waseem Muhammad
info,umpire,BB Pradhan
info,umpire,Izatullah Safi
info,reserve_umpire,Ahmed Shah Durrani
info,match_referee,Ali Naqvi
info,winner,United Arab Emirates
info,winner_runs,29
info,player,United Arab Emirates,A Sharafu
info,player,United Arab Emirates,Waseem Muhammad
info,player,United Arab Emirates,Asif Khan
info,player,United Arab Emirates,R Chopra
info,player,United Arab Emirates,Ali Naseer
info,player,United Arab Emirates,Muhammad Jawadullah
info,player,United Arab Emirates,Junaid Siddique
info,player,United Arab Emirates,Zuhaib Zubair
info,player,United Arab Emirates,Syed Haider
info,player,United Arab Emirates,D Parashar
info,player,United Arab Emirates,SS Kang
info,player,Qatar,I Liyanage
info,player,Qatar,Saqlain Arshad
info,player,Qatar,Mohammad Ahnaff
info,player,Qatar,MM Baig
info,player,Qatar,Muhammad Tanveer
info,player,Qatar,Mohammad Rizlan
info,player,Qatar,Ikramullah Khan
info,player,Qatar,Amir Farooq
info,player,Qatar,A Nagarajan
info,player,Qatar,Mohammed Nadeem
info,player,Qatar,Muhammad Jabir
info,registry,people,A Nagarajan,856dcfa8
info,registry,people,A Sharafu,06cad4f0
info,registry,people,Ahmed Shah Durrani,af23265a
info,registry,people,Ali Naqvi,3c89fc88
info,registry,people,Ali Naseer,f5715b48
info,registry,people,Amir Farooq,6e991bd4
info,registry,people,Asif Khan,074acfb4
info,registry,people,BB Pradhan,8603d942
info,registry,people,D Parashar,395179e8
info,registry,people,I Liyanage,826e1017
info,registry,people,Ikramullah Khan,c6e1354c
info,registry,people,Izatullah Safi,0429e73e
info,registry,people,Junaid Siddique,84dc72db
info,registry,people,MM Baig,add288ea
info,registry,people,Mohammad Ahnaff,9b85a13a
info,registry,people,Mohammad Rizlan,82afc034
info,registry,people,Mohammed Nadeem,856cbb1e
info,registry,people,Muhammad Jabir,b67af1c4
info,registry,people,Muhammad Jawadullah,098a757c
info,registry,people,Muhammad Tanveer,aef39fe4
info,registry,people,Owais Ahmed,cef52835
info,registry,people,R Chopra,a71d0f89
info,registry,people,SS Kang,797ee165
info,registry,people,Saqlain Arshad,71ad618b
info,registry,people,Syed Haider,ab23a6a1
info,registry,people,Waseem Muhammad,6f02fe2a
info,registry,people,Zuhaib Zubair,9124aa4c
