version,2.2.0
info,balls_per_over,6
info,team,Canada
info,team,United States of America
info,gender,male
info,season,2025
info,date,2025/04/24
info,event,North America T20 Cup
info,match_number,10
info,venue,"Jimmy Powell Oval, Cayman Islands"
info,city,George Town
info,toss_winner,Canada
info,toss_decision,bat
info,player_of_match,NS Dhaliwal
info,umpire,C Young
info,umpire,L Watson
info,reserve_umpire,D Smith
info,winner,Canada
info,winner_runs,17
info,player,Canada,Ali Nadeem
info,player,Canada,NS Dhaliwal
info,player,Canada,YS Samra
info,player,Canada,S Movva
info,player,Canada,H Thaker
info,player,Canada,Ravinderpal Singh
info,player,Canada,Jaskaran Singh
info,player,Canada,Saad Bin Zafar
info,player,Canada,Kaleem Sana
info,player,Canada,Sukhjinder Singh
info,player,Canada,Akhil Kumar
info,player,United States of America,SR Mukkamalla
info,player,United States of America,Shayan Jahangir
info,player,United States of America,MD Patel
info,player,United States of America,Milind Kumar
info,player,United States of America,Aaron Jones
info,player,United States of America,SP Krishnamurthi
info,player,United States of America,Ali Sheikh
info,player,United States of America,Jasdeep Singh
info,player,United States of America,Yasir Mohammad
info,player,United States of America,SN Netravalkar
info,player,United States of America,B Akhilesh Reddy
info,registry,people,Aaron Jones,17aa4f1d
info,registry,people,Akhil Kumar,2feb5b8d
info,registry,people,Ali Nadeem,02802468
info,registry,people,Ali Sheikh,fa4f5a0b
info,registry,people,B Akhilesh Reddy,2df72aae
info,registry,people,C Young,169c473b
info,registry,people,D Smith,388bbca2
info,registry,people,H Thaker,c01d7726
info,registry,people,Jasdeep Singh,5ec41cd7
info,registry,people,Jaskaran Singh,d7b3a420
info,registry,people,Kaleem Sana,14810ee7
info,registry,people,L Watson,f6f4b730
info,registry,people,MD Patel,25d7f1ac
info,registry,people,Milind Kumar,b4296080
info,registry,people,NS Dhaliwal,cbabd6ad
info,registry,people,Ravinderpal Singh,f80682f8
info,registry,people,S Movva,ee229588
info,registry,people,SN Netravalkar,c8a3f688
info,registry,people,SP Krishnamurthi,3b8e7647
info,registry,people,SR Mukkamalla,156d0ea2
info,registry,people,Saad Bin Zafar,f28a60e0
info,registry,people,Shayan Jahangir,571e1d2a
info,registry,people,Sukhjinder Singh,ada72696
info,registry,people,YS Samra,d02c40ab
info,registry,people,Yasir Mohammad,fe5175ce
