version,2.2.0
info,balls_per_over,6
info,team,Bahrain
info,team,Qatar
info,gender,female
info,season,2023/24
info,date,2024/02/10
info,event,Asian Cricket Council Women's Premier Cup
info,match_number,7
info,venue,"Royal Selangor Club, Kuala Lumpur"
info,city,Kuala Lumpur
info,toss_winner,Bahrain
info,toss_decision,bat
info,player_of_match,Aysha
info,umpire,Aasif Iqbal
info,umpire,Shriya Kumari
info,reserve_umpire,RK Yadav
info,match_referee,V Bowen
info,winner,Qatar
info,winner_wickets,7
info,player,Bahrain,TI Gajanayake
info,player,Bahrain,I Suhun
info,player,Bahrain,HMD Rasangika
info,player,Bahrain,Abeera Waris
info,player,Bahrain,A Samildeen
info,player,Bahrain,P Shetty
info,player,Bahrain,S Prakash
info,player,Bahrain,Poorvaja Jagdeesha
info,player,Bahrain,S Nunna
info,player,Bahrain,Sadamali Bhakshala
info,player,Bahrain,Sana Butt
info,player,Qatar,S Dhadwal
info,player,Qatar,A Mare
info,player,Qatar,Aysha
info,player,Qatar,SK Rana
info,player,Qatar,SA Panayan
info,player,Qatar,Taful Elkhair
info,player,Qatar,Rizpha Bano
info,player,Qatar,Khadija Imtiaz
info,player,Qatar,T Kale
info,player,Qatar,S Thapa
info,player,Qatar,KP Bhuva
info,registry,people,A Mare,57a25400
info,registry,people,A Samildeen,bc19544d
info,registry,people,Aasif Iqbal,42c41e1a
info,registry,people,Abeera Waris,01396dc6
info,registry,people,Aysha,37ceee4e
info,registry,people,HMD Rasangika,d6f9dfd6
info,registry,people,I Suhun,41bfb2a9
info,registry,people,KP Bhuva,138becd4
info,registry,people,Khadija Imtiaz,1438d928
info,registry,people,P Shetty,0dda36e7
info,registry,people,Poorvaja Jagdeesha,322855f7
info,registry,people,RK Yadav,a872bd90
info,registry,people,Rizpha Bano,c7832845
info,registry,people,S Dhadwal,7e2c16a3
info,registry,people,S Nunna,24903af6
info,registry,people,S Prakash,4b2c06eb
info,registry,people,S Thapa,36d3ed28
info,registry,people,SA Panayan,cad60789
info,registry,people,SK Rana,47884f8e
info,registry,people,Sadamali Bhakshala,89df3901
info,registry,people,Sana Butt,0f49b970
info,registry,people,Shriya Kumari,5e452781
info,registry,people,T Kale,bc9bd4c6
info,registry,people,TI Gajanayake,d577d45a
info,registry,people,Taful Elkhair,28086b4b
info,registry,people,V Bowen,7297ac4d
