version,2.2.0
info,balls_per_over,6
info,team,Philippines
info,team,Indonesia
info,gender,male
info,season,2023/24
info,date,2023/12/22
info,event,Philippines tour of Indonesia
info,match_number,1
info,venue,Udayana Cricket Ground
info,city,Bali
info,toss_winner,Indonesia
info,toss_decision,field
info,player_of_match,J Alegra
info,umpire,F Shony
info,umpire,Hitesh Sharma
info,winner,Philippines
info,winner_runs,2
info,player,Philippines,AS Samra
info,player,Philippines,HER Tyler
info,player,Philippines,J Alegra
info,player,Philippines,DC Smith
info,player,Philippines,GR Russ
info,player,Philippines,M Podosky
info,player,Philippines,JEA Doctora
info,player,Philippines,G Chohan
info,player,Philippines,LJ Myott
info,player,Philippines,Huzaifa Mohammed
info,player,Philippines,KDA Lukies
info,player,Indonesia,GA Priandana
info,player,Indonesia,Anjar Tadarus
info,player,Indonesia,KD Kesuma
info,player,Indonesia,GD Arta
info,player,Indonesia,IK Gamantika
info,player,Indonesia,DJ Hawoe
info,player,Indonesia,F Banunaek
info,player,Indonesia,IKEG Artawan
info,player,Indonesia,Ahmad Ramdoni
info,player,Indonesia,GY Prastama
info,player,Indonesia,RM Koda
info,registry,people,AS Samra,bf976fb0
info,registry,people,Ahmad Ramdoni,b5f30525
info,registry,people,Anjar Tadarus,72275237
info,registry,people,DC Smith,a968d39b
info,registry,people,DJ Hawoe,a62f55ba
info,registry,people,F Banunaek,3c8faed4
info,registry,people,F Shony,85712af4
info,registry,people,G Chohan,b978780e
info,registry,people,GA Priandana,2af0e3b1
info,registry,people,GD Arta,e969e580
info,registry,people,GR Russ,1f28fdfd
info,registry,people,GY Prastama,d9cdf81e
info,registry,people,HER Tyler,0ba9de33
info,registry,people,Hitesh Sharma,2085a934
info,registry,people,Huzaifa Mohammed,65a29a30
info,registry,people,IK Gamantika,4d7c5b56
info,registry,people,IKEG Artawan,190957d2
info,registry,people,J Alegra,ac6be7ed
info,registry,people,JEA Doctora,43449b1e
info,registry,people,KD Kesuma,4b349dc0
info,registry,people,KDA Lukies,14af45c4
info,registry,people,LJ Myott,3f9d95f9
info,registry,people,M Podosky,c46999c7
info,registry,people,RM Koda,f0a45427
