version,2.2.0
info,balls_per_over,6
info,team,United States of America
info,team,Thailand
info,gender,female
info,season,2024
info,date,2024/05/01
info,event,ICC Women's T20 World Cup Qualifier
info,match_number,16
info,venue,"Zayed Cricket Stadium, Abu Dhabi"
info,city,Abu Dhabi
info,toss_winner,Thailand
info,toss_decision,field
info,player_of_match,T Putthawong
info,umpire,LDVV Silva
info,umpire,K Klaaste
info,reserve_umpire,SB Haig
info,match_referee,GS Lakshmi
info,winner,Thailand
info,winner_wickets,9
info,player,United States of America,D Dhingra
info,player,United States of America,A Kolan
info,player,United States of America,S Sriharsha
info,player,United States of America,Pooja Ganesh
info,player,United States of America,AI Chudasama
info,player,United States of America,RP Singh
info,player,United States of America,G Kodali
info,player,United States of America,IM Vaghela
info,player,United States of America,JM Willathgamuwa
info,player,United States of America,SR Thadani
info,player,United States of America,S Immadi
info,player,Thailand,N Boochatham
info,player,Thailand,N Koncharoenkai
info,player,Thailand,N Chaiwai
info,player,Thailand,N Chantam
info,player,Thailand,C Sutthiruang
info,player,Thailand,P Maya
info,player,Thailand,S Khiaoto
info,player,Thailand,S Laomi
info,player,Thailand,T Putthawong
info,player,Thailand,O Kamchomphu
info,player,Thailand,S Chaturongrattana
info,registry,people,A Kolan,85f5735b
info,registry,people,AI Chudasama,9414a81c
info,registry,people,C Sutthiruang,f6ddfe08
info,registry,people,D Dhingra,b0dc5d0d
info,registry,people,G Kodali,f606177e
info,registry,people,GS Lakshmi,ba8d5615
info,registry,people,IM Vaghela,8d62fc14
info,registry,people,JM Willathgamuwa,0a10b268
info,registry,people,K Klaaste,6cc1d918
info,registry,people,LDVV Silva,6e226c31
info,registry,people,N Boochatham,58acb320
info,registry,people,N Chaiwai,0825e4b3
info,registry,people,N Chantam,b5626ff7
info,registry,people,N Koncharoenkai,82c78412
info,registry,people,O Kamchomphu,519b872a
info,registry,people,P Maya,72eada4c
info,registry,people,Pooja Ganesh,a186b627
info,registry,people,RP Singh,0ab3c788
info,registry,people,S Chaturongrattana,bd36bc39
info,registry,people,S Immadi,a6dd06d6
info,registry,people,S Khiaoto,3ac854ca
info,registry,people,S Laomi,4b15618c
info,registry,people,S Sriharsha,89f6c26f
info,registry,people,SB Haig,811655b3
info,registry,people,SR Thadani,76bda023
info,registry,people,T Putthawong,23e3f2d6
