version,2.2.0
info,balls_per_over,6
info,team,Rwanda
info,team,Ghana
info,gender,male
info,season,2023/24
info,date,2023/10/08
info,event,West Africa Trophy
info,match_number,10
info,venue,"Tafawa Balewa Square Cricket Oval, Lagos"
info,city,Lagos
info,toss_winner,Rwanda
info,toss_decision,bat
info,umpire,Habib Enesi
info,umpire,O Akintokun
info,reserve_umpire,Kehinde Olanbiwonnu
info,winner,Rwanda
info,winner_runs,47
info,player,Rwanda,O Tuyisenge
info,player,Rwanda,E Dusingizimana
info,player,Rwanda,Babar Ali
info,player,Rwanda,D Ndikubwimana
info,player,Rwanda,O Manishimwe
info,player,Rwanda,K Irakoze
info,player,Rwanda,E Sebareme
info,player,Rwanda,Muhammad Nadir
info,player,Rwanda,M Akayezu
info,player,Rwanda,E Rukiriza
info,player,Rwanda,Z Bimenyimana
info,player,Ghana,R Bakum
info,player,Ghana,SK Awiah
info,player,Ghana,G Bakiweyem
info,player,Ghana,KM Awala
info,player,Ghana,OH Agbomadzie
info,player,Ghana,DK Anefie
info,player,Ghana,M Aboagye
info,player,Ghana,A Osei
info,player,Ghana,TK Joseph
info,player,Ghana,Aziz Sualley
info,player,Ghana,Syed Aqeel Israr
info,registry,people,A Osei,375322d1
info,registry,people,Aziz Sualley,118b0a7c
info,registry,people,Babar Ali,c65e0275
info,registry,people,D Ndikubwimana,3cbedf51
info,registry,people,DK Anefie,f98c24ec
info,registry,people,E Dusingizimana,c15e7ba4
info,registry,people,E Rukiriza,3ac13a94
info,registry,people,E Sebareme,f99a219a
info,registry,people,G Bakiweyem,5fe3709e
info,registry,people,Habib Enesi,fb35ab1f
info,registry,people,K Irakoze,9ccb6e52
info,registry,people,KM Awala,c6c7d01b
info,registry,people,Kehinde Olanbiwonnu,e7e9f2cd
info,registry,people,M Aboagye,afe8ff08
info,registry,people,M Akayezu,1f3b9f8d
info,registry,people,Muhammad Nadir,090f96e4
info,registry,people,O Akintokun,6293933e
info,registry,people,O Manishimwe,fb31ca49
info,registry,people,O Tuyisenge,e6a6888f
info,registry,people,OH Agbomadzie,b38a9f73
info,registry,people,R Bakum,c74c583b
info,registry,people,SK Awiah,bc3fc527
info,registry,people,Syed Aqeel Israr,4286e899
info,registry,people,TK Joseph,4fafd79a
info,registry,people,Z Bimenyimana,ba57fb08
