version,2.2.0
info,balls_per_over,6
info,team,Oman
info,team,United States of America
info,gender,male
info,season,2024/25
info,date,2025/02/23
info,event,United States of America tour of Oman
info,match_number,3
info,venue,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)
info,city,Al Amarat
info,toss_winner,Oman
info,toss_decision,bat
info,player_of_match,Milind Kumar
info,umpire,Harikrishna Pillai
info,umpire,Rahul Asher
info,reserve_umpire,Vinod Babu
info,match_referee,V Narayan Kutty
info,winner,United States of America
info,winner_wickets,8
info,player,Oman,Aamir Kaleem
info,player,Oman,Jatinder Singh
info,player,Oman,Mujibur Ali
info,player,Oman,Hammad Mirza
info,player,Oman,Mohammad Nadeem
info,player,Oman,J Ramanandi
info,player,Oman,V Shukla
info,player,Oman,Shakeel Ahmed
info,player,Oman,S Shrivastava
info,player,Oman,Muhammed Imran
info,player,Oman,Bilal Shah
info,player,United States of America,SR Mukkamalla
info,player,United States of America,AGS Gous
info,player,United States of America,Milind Kumar
info,player,United States of America,Aaron Jones
info,player,United States of America,MD Patel
info,player,United States of America,SP Krishnamurthi
info,player,United States of America,Harmeet Singh
info,player,United States of America,NP Kenjige
info,player,United States of America,Ali Sheikh
info,player,United States of America,J Drysdale
info,player,United States of America,SV Wiig
info,registry,people,AGS Gous,d1305df0
info,registry,people,Aamir Kaleem,7ecb9a14
info,registry,people,Aaron Jones,17aa4f1d
info,registry,people,Ali Sheikh,fa4f5a0b
info,registry,people,Bilal Shah,c7530eeb
info,registry,people,Hammad Mirza,0b7b78c6
info,registry,people,Harikrishna Pillai,ed918c90
info,registry,people,Harmeet Singh,0bf15e52
info,registry,people,J Drysdale,23f94c02
info,registry,people,J Ramanandi,f7ce2ff9
info,registry,people,Jatinder Singh,b80dd12c
info,registry,people,MD Patel,25d7f1ac
info,registry,people,Milind Kumar,b4296080
info,registry,people,Mohammad Nadeem,c5d7b244
info,registry,people,Muhammed Imran,5278cecc
info,registry,people,Mujibur Ali,e88468b7
info,registry,people,NP Kenjige,f7d267f7
info,registry,people,Rahul Asher,4956b0bf
info,registry,people,S Shrivastava,ac166f77
info,registry,people,SP Krishnamurthi,3b8e7647
info,registry,people,SR Mukkamalla,156d0ea2
info,registry,people,SV Wiig,44f11bd0
info,registry,people,Shakeel Ahmed,e29e9c12
info,registry,people,V Narayan Kutty,4bacee3d
info,registry,people,V Shukla,101b1180
info,registry,people,Vinod Babu,37e6187d
