version,2.2.0
info,balls_per_over,6
info,team,England
info,team,Sri Lanka
info,gender,female
info,season,2023
info,date,2023/09/02
info,event,Sri Lanka Women tour of England
info,match_number,2
info,venue,"County Ground, Chelmsford"
info,city,Chelmsford
info,toss_winner,Sri Lanka
info,toss_decision,field
info,player_of_match,AC Jayangani
info,umpire,AY Harris
info,umpire,J Naeem
info,reserve_umpire,Rob White
info,tv_umpire,S Redfern
info,match_referee,Wayne Noon
info,winner,Sri Lanka
info,winner_wickets,8
info,player,England,DN Wyatt
info,player,England,ME Bouchier
info,player,England,A Capsey
info,player,England,HC Knight
info,player,England,AE Jones
info,player,England,FG Kemp
info,player,England,DR Gibson
info,player,England,CE Dean
info,player,England,S Glenn
info,player,England,IECM Wong
info,player,England,KL Cross
info,player,Sri Lanka,AC Jayangani
info,player,Sri Lanka,MAA Sanjeewani
info,player,Sri Lanka,H Madavi
info,player,Sri Lanka,RMVD Gunaratne
info,player,Sri Lanka,GWHM Perera
info,player,Sri Lanka,NND de Silva
info,player,Sri Lanka,WK Dilhari
info,player,Sri Lanka,I Ranaweera
info,player,Sri Lanka,BMSM Kumari
info,player,Sri Lanka,KDU Prabodhani
info,player,Sri Lanka,SIP Fernando
info,registry,people,A Capsey,910dd54e
info,registry,people,AC Jayangani,ac56b5a7
info,registry,people,AE Jones,b05e45e4
info,registry,people,AY Harris,90d95b82
info,registry,people,BMSM Kumari,b55fb828
info,registry,people,CE Dean,c6625a26
info,registry,people,DN Wyatt,a139c379
info,registry,people,DR Gibson,d2763568
info,registry,people,FG Kemp,abc9f8a4
info,registry,people,GWHM Perera,53068b45
info,registry,people,H Madavi,85021bcd
info,registry,people,HC Knight,4ba0289e
info,registry,people,I Ranaweera,a61850e6
info,registry,people,IECM Wong,e5b17517
info,registry,people,J Naeem,0dc3fee0
info,registry,people,KDU Prabodhani,a0fdf513
info,registry,people,KL Cross,1ade138e
info,registry,people,MAA Sanjeewani,318a4039
info,registry,people,ME Bouchier,c2554b59
info,registry,people,NND de Silva,f0b4294e
info,registry,people,RMVD Gunaratne,9e866b59
info,registry,people,Rob White,59b91222
info,registry,people,S Glenn,b34e0c77
info,registry,people,S Redfern,5b038989
info,registry,people,SIP Fernando,5838cb64
info,registry,people,WK Dilhari,c34a15e6
info,registry,people,Wayne Noon,736e1761
