version,2.2.0
info,balls_per_over,6
info,team,Hong Kong
info,team,Nepal
info,gender,female
info,season,2024/25
info,date,2025/03/10
info,event,Women's T20 Quadrangular Series (in Uganda)
info,match_number,6
info,venue,Entebbe Cricket Oval
info,city,Entebbe
info,toss_winner,Nepal
info,toss_decision,field
info,player_of_match,M Hill
info,umpire,AY Harris
info,umpire,Patric Makumbi
info,reserve_umpire,S Athuola
info,winner,Hong Kong
info,winner_runs,2
info,player,Hong Kong,NT Miles
info,player,Hong Kong,Shanzeen Shahzad
info,player,Hong Kong,M Hill
info,player,Hong Kong,KY Chan
info,player,Hong Kong,Y Daswani
info,player,Hong Kong,M Bibi
info,player,Hong Kong,WK Lai
info,player,Hong Kong,M Wai Siu
info,player,Hong Kong,Chan Ka Man
info,player,Hong Kong,Joyleen Kaur
info,player,Hong Kong,Iqra Sahar
info,player,Nepal,Samjhana Khadka
info,player,Nepal,S Praveen
info,player,Nepal,Puja Mahato
info,player,Nepal,I Barma
info,player,Nepal,B Rawal
info,player,Nepal,K Joshi
info,player,Nepal,RC Belbashi
info,player,Nepal,Roma Thapa
info,player,Nepal,I Bist
info,player,Nepal,R Chaudhary
info,player,Nepal,Riya Sharma
info,registry,people,AY Harris,90d95b82
info,registry,people,B Rawal,4d1cc284
info,registry,people,Chan Ka Man,c4022bff
info,registry,people,I Barma,521abce2
info,registry,people,I Bist,beccd5a1
info,registry,people,Iqra Sahar,aaccb8ca
info,registry,people,Joyleen Kaur,8ea44a61
info,registry,people,K Joshi,0cd297b9
info,registry,people,KY Chan,6348c6e9
info,registry,people,M Bibi,34f86a2d
info,registry,people,M Hill,bf5e7711
info,registry,people,M Wai Siu,74eecff4
info,registry,people,NT Miles,d27d0835
info,registry,people,Patric Makumbi,e4c69c16
info,registry,people,Puja Mahato,4b95058b
info,registry,people,R Chaudhary,bc6f4dac
info,registry,people,RC Belbashi,dfdaca74
info,registry,people,Riya Sharma,8b7cda26
info,registry,people,Roma Thapa,05d9faac
info,registry,people,S Athuola,7c94cfd1
info,registry,people,S Praveen,c03a7d47
info,registry,people,Samjhana Khadka,765a2354
info,registry,people,Shanzeen Shahzad,ce291858
info,registry,people,WK Lai,6ab99b17
info,registry,people,Y Daswani,2038a273
