version,2.2.0
info,balls_per_over,6
info,team,Malaysia
info,team,Bahrain
info,gender,female
info,season,2023
info,date,2023/09/03
info,event,ICC Women's T20 World Cup Asia Region Qualifier
info,match_number,11
info,venue,"Bayuemas Oval, Kuala Lumpur"
info,city,Kuala Lumpur
info,toss_winner,Bahrain
info,toss_decision,field
info,player_of_match,Mas Elysa
info,umpire,N Janani
info,umpire,Shivani Mishra
info,reserve_umpire,DN Subedi
info,match_referee,M Nayyar
info,winner,Malaysia
info,winner_runs,46
info,player,Malaysia,Ainna Hamizah Hashim
info,player,Malaysia,WA Duraisingam
info,player,Malaysia,Mahirah Izzati Ismail
info,player,Malaysia,Mas Elysa
info,player,Malaysia,J Intan
info,player,Malaysia,Aina Najwa
info,player,Malaysia,Aisya Eleesa
info,player,Malaysia,Nur Dania Syuhada
info,player,Malaysia,Musfirah Nur Ainaa
info,player,Malaysia,Nur Arianna Natsya
info,player,Malaysia,Wan Nor Zulaika
info,player,Bahrain,TI Gajanayake
info,player,Bahrain,R Rodrigo
info,player,Bahrain,HMD Rasangika
info,player,Bahrain,Abeera Waris
info,player,Bahrain,I Suhun
info,player,Bahrain,S Nunna
info,player,Bahrain,Prajna Jagdeesha
info,player,Bahrain,P Shetty
info,player,Bahrain,S Prakash
info,player,Bahrain,Ashwini Govinda
info,player,Bahrain,Sadamali Bhakshala
info,registry,people,Abeera Waris,01396dc6
info,registry,people,Aina Najwa,31453abb
info,registry,people,Ainna Hamizah Hashim,4c7744de
info,registry,people,Aisya Eleesa,2cd18a73
info,registry,people,Ashwini Govinda,5581a471
info,registry,people,DN Subedi,fb0a571f
info,registry,people,HMD Rasangika,d6f9dfd6
info,registry,people,I Suhun,41bfb2a9
info,registry,people,J Intan,2dfdd316
info,registry,people,M Nayyar,b7bccddb
info,registry,people,Mahirah Izzati Ismail,b9b32e3c
info,registry,people,Mas Elysa,857de42e
info,registry,people,Musfirah Nur Ainaa,acd1fec7
info,registry,people,N Janani,d06a665d
info,registry,people,Nur Aishah,f7301b56
info,registry,people,Nur Arianna Natsya,4db4c8be
info,registry,people,Nur Dania Syuhada,3af75717
info,registry,people,P Shetty,0dda36e7
info,registry,people,Prajna Jagdeesha,b79932e1
info,registry,people,R Rodrigo,fe676043
info,registry,people,S Nunna,24903af6
info,registry,people,S Prakash,4b2c06eb
info,registry,people,Sadamali Bhakshala,89df3901
info,registry,people,Shivani Mishra,2982a0c7
info,registry,people,TI Gajanayake,d577d45a
info,registry,people,WA Duraisingam,7467fe01
info,registry,people,Wan Nor Zulaika,ae99724d
