version,2.2.0
info,balls_per_over,6
info,team,Luxembourg
info,team,Malta
info,gender,male
info,season,2023
info,date,2023/07/13
info,event,Valletta Cup
info,match_number,2
info,venue,Marsa Sports Club
info,city,Marsa
info,toss_winner,Malta
info,toss_decision,field
info,player_of_match,Fanyan Mughal
info,umpire,D Kalloe
info,umpire,J Hilhorst
info,reserve_umpire,S Fernando
info,match_referee,Vinay Malhotra
info,winner,Malta
info,winner_wickets,6
info,player,Luxembourg,TC Barker
info,player,Luxembourg,SKS Gill
info,player,Luxembourg,A Halbhavi
info,player,Luxembourg,J Mees
info,player,Luxembourg,V Vijh
info,player,Luxembourg,E Jabarkhel
info,player,Luxembourg,WJ Cope
info,player,Luxembourg,J Barker
info,player,Luxembourg,M Dixit
info,player,Luxembourg,A Dhingra
info,player,Luxembourg,A Nanda
info,player,Malta,Zeeshan Khan
info,player,Malta,Fanyan Mughal
info,player,Malta,G Thakur
info,player,Malta,Aaftab Alam Khan
info,player,Malta,VP Thamotharam
info,player,Malta,Waqas Ahmad
info,player,Malta,B Arora
info,player,Malta,E Mathew
info,player,Malta,C Sudarsanan
info,player,Malta,Washeem Abbas
info,player,Malta,Yash Singh
info,registry,people,A Dhingra,753ada66
info,registry,people,A Halbhavi,df1b4c8f
info,registry,people,A Nanda,704e0160
info,registry,people,Aaftab Alam Khan,9dbc77b3
info,registry,people,B Arora,39e9f0c9
info,registry,people,C Sudarsanan,391a825b
info,registry,people,D Kalloe,baf1c7d1
info,registry,people,E Jabarkhel,21526a38
info,registry,people,E Mathew,e00acf74
info,registry,people,Fanyan Mughal,e85bb4b3
info,registry,people,G Thakur,93720584
info,registry,people,J Barker,c18cecbe
info,registry,people,J Hilhorst,8a1350d4
info,registry,people,J Mees,ab1445ea
info,registry,people,M Dixit,d85d52c2
info,registry,people,S Fernando,bbeb5b15
info,registry,people,SKS Gill,faef026c
info,registry,people,TC Barker,c31adb5c
info,registry,people,V Vijh,b857468a
info,registry,people,VP Thamotharam,eb40ed89
info,registry,people,Vinay Malhotra,452837d1
info,registry,people,WJ Cope,fb34b0ec
info,registry,people,Waqas Ahmad,82623a3a
info,registry,people,Washeem Abbas,6de4e430
info,registry,people,Yash Singh,7adc2d68
info,registry,people,Zeeshan Khan,3f9b1a96
