version,2.2.0
info,balls_per_over,6
info,team,Canada
info,team,United States of America
info,gender,male
info,season,2024
info,date,2024/06/01
info,event,ICC Men's T20 World Cup
info,match_number,1
info,venue,"Grand Prairie Stadium, Dallas"
info,city,Dallas
info,toss_winner,United States of America
info,toss_decision,field
info,player_of_match,Aaron Jones
info,umpire,RK Illingworth
info,umpire,Sharfuddoula
info,reserve_umpire,L Rusere
info,tv_umpire,SJ Nogajski
info,match_referee,RB Richardson
info,winner,United States of America
info,winner_wickets,7
info,player,Canada,A Johnson
info,player,Canada,NS Dhaliwal
info,player,Canada,Pargat Singh
info,player,Canada,NR Kirton
info,player,Canada,S Movva
info,player,Canada,DS Bajwa
info,player,Canada,D Heyliger
info,player,Canada,Saad Bin Zafar
info,player,Canada,N Dutta
info,player,Canada,Kaleem Sana
info,player,Canada,JOA Gordon
info,player,United States of America,SR Taylor
info,player,United States of America,MD Patel
info,player,United States of America,AGS Gous
info,player,United States of America,Aaron Jones
info,player,United States of America,CJ Anderson
info,player,United States of America,NR Kumar
info,player,United States of America,Harmeet Singh
info,player,United States of America,SC van Schalkwyk
info,player,United States of America,Jasdeep Singh
info,player,United States of America,SN Netravalkar
info,player,United States of America,Ali Khan
info,registry,people,A Johnson,a28a7fba
info,registry,people,AGS Gous,d1305df0
info,registry,people,Aaron Jones,17aa4f1d
info,registry,people,Ali Khan,b0eaaac6
info,registry,people,CJ Anderson,8abdf100
info,registry,people,D Heyliger,f8c72766
info,registry,people,DS Bajwa,e3540b8c
info,registry,people,Harmeet Singh,0bf15e52
info,registry,people,JOA Gordon,bb9b51f4
info,registry,people,Jasdeep Singh,5ec41cd7
info,registry,people,Kaleem Sana,14810ee7
info,registry,people,L Rusere,6a4734ae
info,registry,people,MD Patel,25d7f1ac
info,registry,people,N Dutta,e258a603
info,registry,people,NR Kirton,6b75c2b1
info,registry,people,NR Kumar,b3bad3f2
info,registry,people,NS Dhaliwal,cbabd6ad
info,registry,people,Pargat Singh,d2e67105
info,registry,people,RB Richardson,410e2f12
info,registry,people,RK Illingworth,20672246
info,registry,people,S Movva,ee229588
info,registry,people,SC van Schalkwyk,97b0e4ff
info,registry,people,SJ Nogajski,9b3f9323
info,registry,people,SN Netravalkar,c8a3f688
info,registry,people,SR Taylor,a9231c3f
info,registry,people,Saad Bin Zafar,f28a60e0
info,registry,people,Sharfuddoula,63896abb
