version,2.2.0
info,balls_per_over,6
info,team,Hong Kong
info,team,China
info,gender,female
info,season,2024/25
info,date,2024/12/08
info,event,Women's T20 Quadrangular Series (in Hong Kong)
info,venue,"Mission Road Ground, Mong Kok, Hong Kong"
info,city,Mong Kok
info,toss_winner,China
info,toss_decision,field
info,player_of_match,KY Chan
info,umpire,John Prakash
info,umpire,SJ D'Cruz
info,reserve_umpire,Niaz Ali
info,match_referee,G Sankaranarayanan
info,winner,Hong Kong
info,winner_runs,32
info,player,Hong Kong,NT Miles
info,player,Hong Kong,M Hill
info,player,Hong Kong,Shanzeen Shahzad
info,player,Hong Kong,Y Daswani
info,player,Hong Kong,WK Lai
info,player,Hong Kong,Ruchitha Venkatesh
info,player,Hong Kong,KY Chan
info,player,Hong Kong,M Bibi
info,player,Hong Kong,Hiu Ying Cheung
info,player,Hong Kong,Joyleen Kaur
info,player,Hong Kong,M Wai Siu
info,player,China,Jing Yang
info,player,China,Yang Shen
info,player,China,Zi Mei
info,player,China,Xu Qian
info,player,China,Wei Haiting
info,player,China,Yan Zuying
info,player,China,Gong Yuting
info,player,China,Cai Yuzhi
info,player,China,Mengting Liu
info,player,China,Ma Ruike
info,player,China,Wang Huiying
info,registry,people,Cai Yuzhi,80d30c5f
info,registry,people,G Sankaranarayanan,a4a348f9
info,registry,people,Gong Yuting,edcd847a
info,registry,people,Hiu Ying Cheung,9efce9fd
info,registry,people,Jing Yang,03f1a623
info,registry,people,John Prakash,b5f3d429
info,registry,people,Joyleen Kaur,8ea44a61
info,registry,people,KY Chan,6348c6e9
info,registry,people,M Bibi,34f86a2d
info,registry,people,M Hill,bf5e7711
info,registry,people,M Wai Siu,74eecff4
info,registry,people,Ma Ruike,8ccef7e2
info,registry,people,Mengting Liu,1119a645
info,registry,people,NT Miles,d27d0835
info,registry,people,Niaz Ali,e33a357d
info,registry,people,Ruchitha Venkatesh,106135f5
info,registry,people,SJ D'Cruz,ed62962b
info,registry,people,SYD Chan,4839b023
info,registry,people,Shanzeen Shahzad,ce291858
info,registry,people,WK Lai,6ab99b17
info,registry,people,Wang Huiying,c84a3e06
info,registry,people,Wei Haiting,a1e30490
info,registry,people,Xu Qian,4d382b64
info,registry,people,Y Daswani,2038a273
info,registry,people,Yan Zuying,0311d9ec
info,registry,people,Yang Shen,eae39ba0
info,registry,people,Zi Mei,72070f05
