version,2.2.0
info,balls_per_over,6
info,team,Hong Kong
info,team,Oman
info,gender,male
info,season,2024
info,date,2024/04/19
info,event,ACC Men's Premier Cup
info,venue,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)
info,city,Al Amarat
info,toss_winner,Oman
info,toss_decision,field
info,player_of_match,Aqib Ilyas
info,umpire,RMPJ Rambukwella
info,umpire,Tariq Rasheed
info,reserve_umpire,Tabarak Dar
info,tv_umpire,S Ravi
info,match_referee,Prakash Bhatt
info,winner,Oman
info,winner_wickets,5
info,player,Hong Kong,M Coetzee
info,player,Hong Kong,Anshuman Rath
info,player,Hong Kong,Nizakat Khan
info,player,Hong Kong,Babar Hayat
info,player,Hong Kong,Aizaz Khan
info,player,Hong Kong,Yasim Murtaza
info,player,Hong Kong,Zeeshan Ali
info,player,Hong Kong,Ehsan Khan
info,player,Hong Kong,Nasrulla Rana
info,player,Hong Kong,Ateeq Iqbal
info,player,Hong Kong,A Shukla
info,player,Oman,KH Prajapati
info,player,Oman,Naseem Khushi
info,player,Oman,Aqib Ilyas
info,player,Oman,PS Athavale
info,player,Oman,Zeeshan Maqsood
info,player,Oman,Ayan Khan
info,player,Oman,Khalid Kail
info,player,Oman,Rafiullah
info,player,Oman,Kaleemullah
info,player,Oman,Fayyaz Butt
info,player,Oman,Bilal Khan
info,registry,people,A Shukla,a1e80d06
info,registry,people,Aizaz Khan,f6c2659d
info,registry,people,Anshuman Rath,552b228c
info,registry,people,Aqib Ilyas,b3b39bed
info,registry,people,Ateeq Iqbal,29b322c7
info,registry,people,Ayan Khan,44d6a8b8
info,registry,people,Babar Hayat,fbb657bb
info,registry,people,Bilal Khan,dcdb87f2
info,registry,people,Ehsan Khan,d3851cd8
info,registry,people,Fayyaz Butt,bd9fbd51
info,registry,people,KH Prajapati,c4e73ff1
info,registry,people,Kaleemullah,72253b87
info,registry,people,Khalid Kail,3ee90b67
info,registry,people,M Coetzee,3f149080
info,registry,people,Naseem Khushi,c63671e9
info,registry,people,Nasrulla Rana,9ffb7550
info,registry,people,Nizakat Khan,e3eb9e46
info,registry,people,PS Athavale,c2f12310
info,registry,people,Prakash Bhatt,f848ab0b
info,registry,people,RMPJ Rambukwella,13fa6ffc
info,registry,people,Rafiullah,369cc49c
info,registry,people,S Ravi,9b9ee0df
info,registry,people,Tabarak Dar,2259c12d
info,registry,people,Tariq Rasheed,1008518c
info,registry,people,Yasim Murtaza,c9d05f1a
info,registry,people,Zeeshan Ali,987187b9
info,registry,people,Zeeshan Maqsood,34464143
