version,2.2.0
info,balls_per_over,6
info,team,Malta
info,team,Austria
info,gender,male
info,season,2024/25
info,date,2025/02/05
info,event,Malta Tri-Nation T20I Series
info,match_number,5
info,venue,Marsa Sports Club
info,city,Marsa
info,toss_winner,Austria
info,toss_decision,field
info,player_of_match,M Simpson-Parker
info,umpire,V Sridhar
info,umpire,Vinay Malhotra
info,reserve_umpire,S Fernando
info,winner,Austria
info,winner_wickets,6
info,player,Malta,DR Patankar
info,player,Malta,R Dianish
info,player,Malta,Sobu George
info,player,Malta,VP Thamotharam
info,player,Malta,E Mathew
info,player,Malta,Washeem Abbas
info,player,Malta,Jaspal Singh
info,player,Malta,C Sudarsanan
info,player,Malta,Amar Sharma
info,player,Malta,D Marks
info,player,Malta,P Ghosh
info,player,Austria,Bilal Zalmai
info,player,Austria,Zeshan Arif
info,player,Austria,Razmal Shigiwal
info,player,Austria,Aqib Iqbal
info,player,Austria,M Simpson-Parker
info,player,Austria,Hamid Safi
info,player,Austria,Sahel Zadran
info,player,Austria,J Ghelzai
info,player,Austria,Arsalan Arif
info,player,Austria,H Khogiyani
info,player,Austria,Umair Tariq
info,registry,people,Amar Sharma,14e1fdab
info,registry,people,Aqib Iqbal,14157abf
info,registry,people,Arsalan Arif,cc65e4a4
info,registry,people,Bilal Zalmai,33b67317
info,registry,people,C Sudarsanan,391a825b
info,registry,people,D Marks,0813a8b1
info,registry,people,DR Patankar,e661915c
info,registry,people,E Mathew,e00acf74
info,registry,people,H Khogiyani,b85c0597
info,registry,people,Hamid Safi,ec4ae12d
info,registry,people,J Ghelzai,b38a7890
info,registry,people,Jaspal Singh,adca37a2
info,registry,people,M Simpson-Parker,fecd828e
info,registry,people,P Ghosh,3f0e3504
info,registry,people,R Dianish,17e2a2d6
info,registry,people,Razmal Shigiwal,60cc80ac
info,registry,people,S Fernando,bbeb5b15
info,registry,people,Sahel Zadran,dae28050
info,registry,people,Sobu George,bed559c8
info,registry,people,Umair Tariq,67ec2b09
info,registry,people,V Sridhar,42314166
info,registry,people,VP Thamotharam,eb40ed89
info,registry,people,Vinay Malhotra,452837d1
info,registry,people,Washeem Abbas,6de4e430
info,registry,people,Zeshan Arif,6829b373
