version,2.2.0
info,balls_per_over,6
info,team,Uganda
info,team,Nepal
info,gender,female
info,season,2024/25
info,date,2025/03/09
info,event,Women's T20 Quadrangular Series (in Uganda)
info,match_number,3
info,venue,Entebbe Cricket Oval
info,city,Entebbe
info,toss_winner,Nepal
info,toss_decision,field
info,player_of_match,Puja Mahato
info,umpire,Patric Makumbi
info,umpire,S Athuola
info,reserve_umpire,S Kintu
info,winner,Nepal
info,winner_wickets,1
info,player,Uganda,J Mbabazi
info,player,Uganda,I Nakisuuyi
info,player,Uganda,M Ariokot
info,player,Uganda,P Alako
info,player,Uganda,S Nampiina
info,player,Uganda,R Musamali
info,player,Uganda,K Awino
info,player,Uganda,S Walaza
info,player,Uganda,P Malemikia
info,player,Uganda,C Aweko
info,player,Uganda,S Akiteng
info,player,Nepal,Samjhana Khadka
info,player,Nepal,S Praveen
info,player,Nepal,Puja Mahato
info,player,Nepal,I Barma
info,player,Nepal,K Joshi
info,player,Nepal,RC Belbashi
info,player,Nepal,B Rawal
info,player,Nepal,Roma Thapa
info,player,Nepal,I Bist
info,player,Nepal,R Chaudhary
info,player,Nepal,Riya Sharma
info,registry,people,B Rawal,4d1cc284
info,registry,people,C Aweko,01c1b96c
info,registry,people,I Barma,521abce2
info,registry,people,I Bist,beccd5a1
info,registry,people,I Nakisuuyi,2f145a4f
info,registry,people,J Mbabazi,aaa6e84c
info,registry,people,K Awino,c4e7749a
info,registry,people,K Joshi,0cd297b9
info,registry,people,M Ariokot,c328bc6c
info,registry,people,P Alako,fcf37e14
info,registry,people,P Malemikia,554a83e5
info,registry,people,Patric Makumbi,e4c69c16
info,registry,people,Puja Mahato,4b95058b
info,registry,people,R Chaudhary,bc6f4dac
info,registry,people,R Musamali,017cadb2
info,registry,people,RC Belbashi,dfdaca74
info,registry,people,Riya Sharma,8b7cda26
info,registry,people,Roma Thapa,05d9faac
info,registry,people,S Akiteng,cf92d76b
info,registry,people,S Athuola,7c94cfd1
info,registry,people,S Kintu,ff387f93
info,registry,people,S Nampiina,91d9aa26
info,registry,people,S Praveen,c03a7d47
info,registry,people,S Walaza,f67ea6d2
info,registry,people,Samjhana Khadka,765a2354
