version,2.2.0
info,balls_per_over,6
info,team,Nepal
info,team,Qatar
info,gender,male
info,season,2024
info,date,2024/04/13
info,event,ACC Men's Premier Cup
info,match_number,7
info,venue,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)
info,city,Al Amarat
info,toss_winner,Nepal
info,toss_decision,bat
info,player_of_match,DS Airee
info,umpire,Shiju Sam
info,umpire,Vinod Babu
info,reserve_umpire,Rahul Asher
info,tv_umpire,V Kalidas
info,match_referee,Selim Shahid
info,winner,Nepal
info,winner_runs,32
info,player,Nepal,K Bhurtel
info,player,Nepal,Aasif Sheikh
info,player,Nepal,RK Paudel
info,player,Nepal,Kushal Malla
info,player,Nepal,DS Airee
info,player,Nepal,S Jora
info,player,Nepal,Gulsan Jha
info,player,Nepal,B Yadav
info,player,Nepal,Sompal Kami
info,player,Nepal,A Bohara
info,player,Nepal,LN Rajbanshi
info,player,Qatar,Kamran Khan (2)
info,player,Qatar,Saqlain Arshad
info,player,Qatar,Mohammad Ahnaff
info,player,Qatar,Muhammad Tanveer
info,player,Qatar,Mohammed Irshad
info,player,Qatar,R Theruvath
info,player,Qatar,Amir Farooq
info,player,Qatar,H Rathod
info,player,Qatar,Adnan Mirza
info,player,Qatar,Ikramullah Khan
info,player,Qatar,Musawar Shah
info,registry,people,A Bohara,64fb6b15
info,registry,people,Aasif Sheikh,dcbea954
info,registry,people,Adnan Mirza,745c3cbc
info,registry,people,Amir Farooq,6e991bd4
info,registry,people,B Yadav,ef07f354
info,registry,people,DS Airee,1747ea18
info,registry,people,Gulsan Jha,9811e35e
info,registry,people,H Rathod,1f943bef
info,registry,people,Ikramullah Khan,c6e1354c
info,registry,people,K Bhurtel,e3386c8a
info,registry,people,Kamran Khan (2),922e3dcc
info,registry,people,Kushal Malla,7e9f1cde
info,registry,people,LN Rajbanshi,6ad2d5f7
info,registry,people,Mohammad Ahnaff,9b85a13a
info,registry,people,Mohammed Irshad,1a54d618
info,registry,people,Muhammad Tanveer,aef39fe4
info,registry,people,Musawar Shah,d482c8b8
info,registry,people,R Theruvath,eb6d1f4d
info,registry,people,RK Paudel,1a3cc554
info,registry,people,Rahul Asher,4956b0bf
info,registry,people,S Jora,156378d8
info,registry,people,Saqlain Arshad,71ad618b
info,registry,people,Selim Shahid,b478bce3
info,registry,people,Shiju Sam,1e2f3eae
info,registry,people,Sompal Kami,1adb8ee8
info,registry,people,V Kalidas,42d76418
info,registry,people,Vinod Babu,37e6187d
