version,2.2.0
info,balls_per_over,6
info,team,Ireland
info,team,South Africa
info,gender,male
info,season,2024/25
info,date,2024/09/27
info,event,Ireland vs South Africa
info,match_number,1
info,venue,"Zayed Cricket Stadium, Abu Dhabi"
info,city,Abu Dhabi
info,toss_winner,South Africa
info,toss_decision,field
info,player_of_match,RD Rickelton
info,umpire,Aidan Seaver
info,umpire,R Black
info,reserve_umpire,Jonathan Kennedy
info,tv_umpire,M Hawthorne
info,match_referee,RS Mahanama
info,winner,South Africa
info,winner_wickets,8
info,player,Ireland,PR Stirling
info,player,Ireland,GR Adair
info,player,Ireland,HT Tector
info,player,Ireland,C Campher
info,player,Ireland,NA Rock
info,player,Ireland,GH Dockrell
info,player,Ireland,MR Adair
info,player,Ireland,F Hand
info,player,Ireland,MJ Humphreys
info,player,Ireland,CA Young
info,player,Ireland,B White
info,player,South Africa,RD Rickelton
info,player,South Africa,RR Hendricks
info,player,South Africa,MP Breetzke
info,player,South Africa,AK Markram
info,player,South Africa,T Stubbs
info,player,South Africa,PWA Mulder
info,player,South Africa,PE Kruger
info,player,South Africa,BC Fortuin
info,player,South Africa,N Peter
info,player,South Africa,LB Williams
info,player,South Africa,OEG Baartman
info,registry,people,AK Markram,6a26221c
info,registry,people,Aidan Seaver,862c0b16
info,registry,people,B White,1a448be0
info,registry,people,BC Fortuin,9a2fc964
info,registry,people,C Campher,478a63e7
info,registry,people,CA Young,bd0a4a7d
info,registry,people,F Hand,e3fe4b49
info,registry,people,GH Dockrell,99cddc5e
info,registry,people,GR Adair,4ec96094
info,registry,people,HT Tector,59ea70a4
info,registry,people,Jonathan Kennedy,f7ad4494
info,registry,people,LB Williams,a1d95bd8
info,registry,people,M Hawthorne,ea123ee4
info,registry,people,MJ Humphreys,2c54c49b
info,registry,people,MP Breetzke,35f173a0
info,registry,people,MR Adair,fc55ec67
info,registry,people,N Peter,212aeedd
info,registry,people,NA Rock,43f4087c
info,registry,people,OEG Baartman,6b9eb501
info,registry,people,PE Kruger,39181592
info,registry,people,PR Stirling,cf494ffe
info,registry,people,PWA Mulder,c96f6ac5
info,registry,people,R Black,156c8fb1
info,registry,people,RD Rickelton,e66732f8
info,registry,people,RR Hendricks,b8cc58c9
info,registry,people,RS Mahanama,57910393
info,registry,people,T Stubbs,85b3fab2
