version,2.2.0
info,balls_per_over,6
info,team,Estonia
info,team,Cyprus
info,gender,female
info,season,2024
info,date,2024/06/17
info,event,Estonia Women tour of Cyprus
info,match_number,2
info,venue,Happy Valley Ground
info,city,Episkopi
info,toss_winner,Estonia
info,toss_decision,bat
info,player_of_match,D Koralalage
info,umpire,S Tennakoon
info,umpire,T Pasquill
info,winner,Cyprus
info,winner_wickets,6
info,player,Estonia,H Kerge
info,player,Estonia,A Vessik
info,player,Estonia,L Sormus
info,player,Estonia,N Zholudz
info,player,Estonia,M Valner
info,player,Estonia,Asma Shifa
info,player,Estonia,L Dalbina
info,player,Estonia,Viktoria Frey
info,player,Estonia,N Tykhonravova
info,player,Estonia,E Ellermaa
info,player,Estonia,S Pattenden
info,player,Cyprus,S Jayakodi
info,player,Cyprus,T Gedarage
info,player,Cyprus,A Taylor
info,player,Cyprus,T De Silva
info,player,Cyprus,I Chathurani
info,player,Cyprus,D Koralalage
info,player,Cyprus,N Liyanage
info,player,Cyprus,A Dirannehelage
info,player,Cyprus,S Dunukedeniya
info,player,Cyprus,C Wijesinghe
info,player,Cyprus,A Hewage
info,registry,people,A Dirannehelage,039168c7
info,registry,people,A Hewage,be53a6a2
info,registry,people,A Taylor,723f9bee
info,registry,people,A Vessik,d30d4a0c
info,registry,people,Asma Shifa,39ca91e4
info,registry,people,C Wijesinghe,db86ac96
info,registry,people,D Koralalage,5e6041a4
info,registry,people,E Ellermaa,37c085d2
info,registry,people,H Kerge,76207d36
info,registry,people,I Chathurani,85364088
info,registry,people,L Dalbina,2b661b53
info,registry,people,L Sormus,3486a171
info,registry,people,M Valner,b5472435
info,registry,people,N Liyanage,2ee5997e
info,registry,people,N Tykhonravova,b9f09828
info,registry,people,N Zholudz,a60bff88
info,registry,people,S Dunukedeniya,3134e4a4
info,registry,people,S Jayakodi,64875d5c
info,registry,people,S Pattenden,b7880d1d
info,registry,people,S Tennakoon,1e1106d5
info,registry,people,T De Silva,31821596
info,registry,people,T Gedarage,5be7eb8a
info,registry,people,T Pasquill,ff74218b
info,registry,people,Viktoria Frey,fed9a316
