version,2.2.0
info,balls_per_over,6
info,team,South Africa
info,team,Nepal
info,gender,male
info,season,2024
info,date,2024/06/14
info,event,ICC Men's T20 World Cup
info,match_number,31
info,venue,"Arnos Vale Ground, Kingstown, St Vincent"
info,city,Kingstown
info,toss_winner,Nepal
info,toss_decision,field
info,player_of_match,T Shamsi
info,umpire,J Madanagopal
info,umpire,JS Wilson
info,reserve_umpire,SJ Nogajski
info,tv_umpire,CM Brown
info,match_referee,RB Richardson
info,winner,South Africa
info,winner_runs,1
info,player,South Africa,RR Hendricks
info,player,South Africa,Q de Kock
info,player,South Africa,AK Markram
info,player,South Africa,H Klaasen
info,player,South Africa,DA Miller
info,player,South Africa,T Stubbs
info,player,South Africa,M Jansen
info,player,South Africa,K Rabada
info,player,South Africa,A Nortje
info,player,South Africa,OEG Baartman
info,player,South Africa,T Shamsi
info,player,Nepal,K Bhurtel
info,player,Nepal,Aasif Sheikh
info,player,Nepal,RK Paudel
info,player,Nepal,AK Sah
info,player,Nepal,DS Airee
info,player,Nepal,Kushal Malla
info,player,Nepal,Gulsan Jha
info,player,Nepal,Sompal Kami
info,player,Nepal,Karan KC
info,player,Nepal,S Lamichhane
info,player,Nepal,A Bohara
info,registry,people,A Bohara,64fb6b15
info,registry,people,A Nortje,acdc62f5
info,registry,people,AK Markram,6a26221c
info,registry,people,AK Sah,5b1d6583
info,registry,people,Aasif Sheikh,dcbea954
info,registry,people,CM Brown,448f4f1c
info,registry,people,DA Miller,d67d5f00
info,registry,people,DS Airee,1747ea18
info,registry,people,Gulsan Jha,9811e35e
info,registry,people,H Klaasen,235c2bb6
info,registry,people,J Madanagopal,8275b04a
info,registry,people,JS Wilson,d7f3b72f
info,registry,people,K Bhurtel,e3386c8a
info,registry,people,K Rabada,e62dd25d
info,registry,people,Karan KC,f53b3e1d
info,registry,people,Kushal Malla,7e9f1cde
info,registry,people,M Jansen,81c36ee9
info,registry,people,OEG Baartman,6b9eb501
info,registry,people,Q de Kock,372455c4
info,registry,people,RB Richardson,410e2f12
info,registry,people,RK Paudel,1a3cc554
info,registry,people,RR Hendricks,b8cc58c9
info,registry,people,S Lamichhane,b410bd3d
info,registry,people,SJ Nogajski,9b3f9323
info,registry,people,Sompal Kami,1adb8ee8
info,registry,people,T Shamsi,a03bba42
info,registry,people,T Stubbs,85b3fab2
