version,2.2.0
info,balls_per_over,6
info,team,Myanmar
info,team,China
info,gender,female
info,season,2023
info,date,2023/09/04
info,event,ICC Women's T20 World Cup Asia Region Qualifier
info,match_number,19
info,venue,"UKM-YSD Cricket Oval, Bangi"
info,city,Bangi
info,toss_winner,China
info,toss_decision,field
info,player_of_match,Chen Yue
info,umpire,Sarika Prasad
info,umpire,VG Rathi
info,reserve_umpire,V Kalidas
info,match_referee,M Nayyar
info,winner,China
info,winner_wickets,9
info,player,Myanmar,KM Myat
info,player,Myanmar,LL Htun
info,player,Myanmar,ZT Kyaw
info,player,Myanmar,Zon Lin
info,player,Myanmar,TT Soe
info,player,Myanmar,ZL Win
info,player,Myanmar,MPP San
info,player,Myanmar,Thae Thae Po
info,player,Myanmar,TT Aung
info,player,Myanmar,SY Win
info,player,Myanmar,AE Moe
info,player,China,Chen Yue
info,player,China,Rongyu Zhao
info,player,China,Yuanyuan Cai
info,player,China,C Zhou
info,player,China,Zi Mei
info,player,China,Han Lili
info,player,China,M Zhu
info,player,China,Xiuli Jin
info,player,China,Zheng Lili
info,player,China,Mengting Liu
info,player,China,Xu Qian
info,registry,people,AE Moe,aac82442
info,registry,people,C Zhou,5b84f3bc
info,registry,people,Chen Yue,8b582549
info,registry,people,Han Lili,cd7134f5
info,registry,people,KM Myat,c1b4e25c
info,registry,people,LL Htun,ec687c3a
info,registry,people,M Nayyar,b7bccddb
info,registry,people,M Zhu,36c3302e
info,registry,people,MPP San,5bc290a2
info,registry,people,Mengting Liu,1119a645
info,registry,people,Rongyu Zhao,fc2b858f
info,registry,people,SY Win,33d65ab4
info,registry,people,Sarika Prasad,8ff397fa
info,registry,people,TT Aung,57fb24e6
info,registry,people,TT Soe,59f44fde
info,registry,people,Thae Thae Po,48a372a4
info,registry,people,V Kalidas,42d76418
info,registry,people,VG Rathi,144e5b16
info,registry,people,Xiuli Jin,f1d76e6f
info,registry,people,Xu Qian,4d382b64
info,registry,people,Yuanyuan Cai,39b12998
info,registry,people,ZL Win,b5714cf9
info,registry,people,ZT Kyaw,cdf63aaa
info,registry,people,Zheng Lili,9c2bb7da
info,registry,people,Zi Mei,72070f05
info,registry,people,Zon Lin,3b492b8d
