version,2.2.0
info,balls_per_over,6
info,team,Bhutan
info,team,Qatar
info,gender,male
info,season,2024/25
info,date,2024/11/20
info,event,ICC Men's T20 World Cup Asia Qualifier B
info,match_number,5
info,venue,University of Doha for Science and Technology
info,city,Doha
info,toss_winner,Qatar
info,toss_decision,field
info,player_of_match,Amir Farooq
info,umpire,Ahmed Shah Durrani
info,umpire,VG Rathi
info,reserve_umpire,Akbar Ali
info,match_referee,Ali Naqvi
info,winner,Qatar
info,winner_wickets,6
info,player,Bhutan,S Pradhan
info,player,Bhutan,Tenjin Rabgey
info,player,Bhutan,J Singye
info,player,Bhutan,RM Dorji
info,player,Bhutan,T Jamtsho
info,player,Bhutan,GK Ghalley
info,player,Bhutan,T Wangchuk
info,player,Bhutan,Namgay Thinley
info,player,Bhutan,Tshering Tashi
info,player,Bhutan,S Yeshi
info,player,Bhutan,Karma Dorji
info,player,Qatar,I Liyanage
info,player,Qatar,Saqlain Arshad
info,player,Qatar,Mohammad Ahnaff
info,player,Qatar,Mohammad Rizlan
info,player,Qatar,MM Baig
info,player,Qatar,Muhammad Tanveer
info,player,Qatar,Ikramullah Khan
info,player,Qatar,Mohammed Nadeem
info,player,Qatar,H Rathod
info,player,Qatar,Muhammad Jabir
info,player,Qatar,Amir Farooq
info,registry,people,Ahmed Shah Durrani,af23265a
info,registry,people,Akbar Ali,e753931d
info,registry,people,Ali Naqvi,3c89fc88
info,registry,people,Amir Farooq,6e991bd4
info,registry,people,GK Ghalley,2d1b6dee
info,registry,people,H Rathod,1f943bef
info,registry,people,I Liyanage,826e1017
info,registry,people,Ikramullah Khan,c6e1354c
info,registry,people,J Singye,28574428
info,registry,people,Karma Dorji,80058153
info,registry,people,MM Baig,add288ea
info,registry,people,Mohammad Ahnaff,9b85a13a
info,registry,people,Mohammad Rizlan,82afc034
info,registry,people,Mohammed Nadeem,856cbb1e
info,registry,people,Muhammad Jabir,b67af1c4
info,registry,people,Muhammad Tanveer,aef39fe4
info,registry,people,Namgay Thinley,9c333e40
info,registry,people,RM Dorji,3d7f02d4
info,registry,people,S Pradhan,04f0d409
info,registry,people,S Yeshi,0c24fb7b
info,registry,people,Saqlain Arshad,71ad618b
info,registry,people,T Jamtsho,c01d1c0a
info,registry,people,T Wangchuk,39799e49
info,registry,people,Tenjin Rabgey,1fed517a
info,registry,people,Tshering Tashi,596c60cf
info,registry,people,VG Rathi,144e5b16
