version,2.2.0
info,balls_per_over,6
info,team,Bermuda
info,team,Canada
info,gender,male
info,season,2025
info,date,2025/04/19
info,event,North America T20 Cup
info,match_number,2
info,venue,"Jimmy Powell Oval, Cayman Islands"
info,city,George Town
info,toss_winner,Bermuda
info,toss_decision,bat
info,player_of_match,Kaleem Sana
info,umpire,A Gajjar
info,umpire,L Bailey
info,reserve_umpire,C Young
info,winner,Canada
info,winner_wickets,5
info,player,Bermuda,TS Fray
info,player,Bermuda,AD Dore
info,player,Bermuda,OGL Bascome
info,player,Bermuda,DMW Rawlins
info,player,Bermuda,D Sabir
info,player,Bermuda,S Smith
info,player,Bermuda,DL Brangman
info,player,Bermuda,AC Douglas
info,player,Bermuda,Z Burgess
info,player,Bermuda,J Proctor
info,player,Bermuda,K Fubler
info,player,Canada,Ali Nadeem
info,player,Canada,NS Dhaliwal
info,player,Canada,YS Samra
info,player,Canada,H Thaker
info,player,Canada,K Tathgur
info,player,Canada,Jaskaran Singh
info,player,Canada,S Movva
info,player,Canada,Akhil Kumar
info,player,Canada,Kaleem Sana
info,player,Canada,Saad Bin Zafar
info,player,Canada,Sukhjinder Singh
info,registry,people,A Gajjar,37db06ef
info,registry,people,AC Douglas,f86ce673
info,registry,people,AD Dore,aa867444
info,registry,people,Akhil Kumar,2feb5b8d
info,registry,people,Ali Nadeem,02802468
info,registry,people,C Young,169c473b
info,registry,people,D Sabir,04bc296f
info,registry,people,DL Brangman,dab18aa5
info,registry,people,DMW Rawlins,f1eb3c73
info,registry,people,H Thaker,c01d7726
info,registry,people,J Proctor,01b0d0a4
info,registry,people,Jaskaran Singh,d7b3a420
info,registry,people,K Fubler,b471ff6c
info,registry,people,K Tathgur,f190c775
info,registry,people,Kaleem Sana,14810ee7
info,registry,people,L Bailey,f37a8ea7
info,registry,people,NS Dhaliwal,cbabd6ad
info,registry,people,OGL Bascome,94a1827c
info,registry,people,S Movva,ee229588
info,registry,people,S Smith,18a0ba24
info,registry,people,Saad Bin Zafar,f28a60e0
info,registry,people,Sukhjinder Singh,ada72696
info,registry,people,TS Fray,c7537f8a
info,registry,people,YS Samra,d02c40ab
info,registry,people,Z Burgess,d0042e16
