version,2.2.0
info,balls_per_over,6
info,team,Ghana
info,team,Gambia
info,gender,male
info,season,2022/23
info,date,2022/12/08
info,event,ICC Men's T20 World Cup Sub Regional Africa Qualifier
info,match_number,21
info,venue,Gahanga International Cricket Stadium. Rwanda
info,city,Kigali City
info,toss_winner,Ghana
info,toss_decision,bat
info,player_of_match,OH Agbomadzie
info,umpire,Habib Enesi
info,umpire,Lauren Agenbag
info,reserve_umpire,C Phiri
info,match_referee,SA Fritz
info,winner,Ghana
info,winner_runs,138
info,method,D/L
info,player,Ghana,JK Vifah
info,player,Ghana,SK Awiah
info,player,Ghana,OH Agbomadzie
info,player,Ghana,Devender Singh
info,player,Ghana,R Bakum
info,player,Ghana,TK Joseph
info,player,Ghana,DK Anefie
info,player,Ghana,R Baaleri
info,player,Ghana,KS Bagabena
info,player,Ghana,G Bakiweyem
info,player,Ghana,P Ayoleyine
info,player,Gambia,Muhammed Manga
info,player,Gambia,ML Bojang
info,player,Gambia,Abubacarr Kuyateh
info,player,Gambia,Ismaila Tanba
info,player,Gambia,A Conteh
info,player,Gambia,Ousman Bah
info,player,Gambia,F Campbell
info,player,Gambia,Mustapha Suwareh
info,player,Gambia,Andre Jarju
info,player,Gambia,M Jobarteh
info,player,Gambia,O Touray
info,registry,people,A Conteh,97b9cb64
info,registry,people,A Osei,375322d1
info,registry,people,Abubacarr Kuyateh,0ec45a9a
info,registry,people,Andre Jarju,53dd7d8e
info,registry,people,C Phiri,ade73404
info,registry,people,DK Anefie,f98c24ec
info,registry,people,Devender Singh,68e21fb1
info,registry,people,F Campbell,02c3024c
info,registry,people,G Bakiweyem,5fe3709e
info,registry,people,Habib Enesi,fb35ab1f
info,registry,people,Ismaila Tanba,180e2c15
info,registry,people,JK Vifah,a1448a10
info,registry,people,KS Bagabena,1ce4f664
info,registry,people,Lauren Agenbag,40849abd
info,registry,people,M Jobarteh,4a2ce060
info,registry,people,ML Bojang,c2409632
info,registry,people,Muhammed Manga,6084f6ee
info,registry,people,Mustapha Suwareh,44116edc
info,registry,people,O Touray,57427d9e
info,registry,people,OH Agbomadzie,b38a9f73
info,registry,people,Ousman Bah,95c214dd
info,registry,people,P Ayoleyine,20e3030d
info,registry,people,R Baaleri,26c9b5be
info,registry,people,R Bakum,c74c583b
info,registry,people,SA Fritz,d15e60c8
info,registry,people,SK Awiah,bc3fc527
info,registry,people,TK Joseph,4fafd79a
