version,2.2.0
info,balls_per_over,6
info,team,Uganda
info,team,Nigeria
info,gender,female
info,season,2024
info,date,2024/05/31
info,event,Kwibuka Women's Twenty20 Tournament
info,match_number,5
info,venue,"Gahanga B Ground, Rwanda"
info,city,Kigali City
info,toss_winner,Nigeria
info,toss_decision,field
info,player_of_match,I Nakisuuyi
info,umpire,D Hagenimana
info,umpire,T Musakwa
info,reserve_umpire,V Iriho
info,winner,Uganda
info,winner_runs,11
info,player,Uganda,J Mbabazi
info,player,Uganda,I Nakisuuyi
info,player,Uganda,S Nampiina
info,player,Uganda,P Alako
info,player,Uganda,R Musamali
info,player,Uganda,A Akurut
info,player,Uganda,K Awino
info,player,Uganda,M Ariokot
info,player,Uganda,S Walaza
info,player,Uganda,C Aweko
info,player,Uganda,L Anyait
info,player,Nigeria,F Eseigbe
info,player,Nigeria,E Sandy
info,player,Nigeria,P Agboya
info,player,Nigeria,L Piety
info,player,Nigeria,S Sunday
info,player,Nigeria,S Etim
info,player,Nigeria,A Akhigbe
info,player,Nigeria,L Udeh
info,player,Nigeria,C Chukwuonye
info,player,Nigeria,A Adekunle
info,player,Nigeria,U Peace
info,registry,people,A Adekunle,1b0ce76e
info,registry,people,A Akhigbe,ed0ec1fe
info,registry,people,A Akurut,b93b7337
info,registry,people,C Aweko,01c1b96c
info,registry,people,C Chukwuonye,bb0aac11
info,registry,people,D Hagenimana,de167462
info,registry,people,E Sandy,59063d6b
info,registry,people,F Eseigbe,292d11ee
info,registry,people,I Nakisuuyi,2f145a4f
info,registry,people,J Mbabazi,aaa6e84c
info,registry,people,K Awino,c4e7749a
info,registry,people,L Anyait,cffeef53
info,registry,people,L Piety,46a29dd0
info,registry,people,L Udeh,8451562a
info,registry,people,M Ariokot,c328bc6c
info,registry,people,P Agboya,532ddb12
info,registry,people,P Alako,fcf37e14
info,registry,people,R Musamali,017cadb2
info,registry,people,S Etim,aa197946
info,registry,people,S Nampiina,91d9aa26
info,registry,people,S Sunday,594a0dec
info,registry,people,S Walaza,f67ea6d2
info,registry,people,T Musakwa,5f925536
info,registry,people,U Peace,3798b336
info,registry,people,V Iriho,2853eafb
