version,2.2.0
info,balls_per_over,6
info,team,Nepal
info,team,Namibia
info,gender,female
info,season,2024/25
info,date,2025/03/08
info,event,Women's T20 Quadrangular Series (in Uganda)
info,match_number,2
info,venue,Entebbe Cricket Oval
info,city,Entebbe
info,toss_winner,Nepal
info,toss_decision,bat
info,player_of_match,M Mwatile
info,umpire,Patric Makumbi
info,umpire,S Kintu
info,reserve_umpire,AY Harris
info,winner,Namibia
info,winner_wickets,6
info,method,D/L
info,player,Nepal,Samjhana Khadka
info,player,Nepal,RC Belbashi
info,player,Nepal,Puja Mahato
info,player,Nepal,I Barma
info,player,Nepal,Roma Thapa
info,player,Nepal,K Joshi
info,player,Nepal,R Airee
info,player,Nepal,R Chaudhary
info,player,Nepal,AK Yadav
info,player,Nepal,I Bist
info,player,Nepal,Riya Sharma
info,player,Namibia,SA Wittmann
info,player,Namibia,M Mwatile
info,player,Namibia,E Van Zyl
info,player,Namibia,W Mwatile
info,player,Namibia,Yasmeen Khan
info,player,Namibia,JA Diergaardt
info,player,Namibia,N Benjamin
info,player,Namibia,S Tuhadeleni
info,player,Namibia,SN Shihepo
info,player,Namibia,M Gorases
info,player,Namibia,KA Green
info,registry,people,AK Yadav,a1886d3f
info,registry,people,AY Harris,90d95b82
info,registry,people,E Van Zyl,79ff52b5
info,registry,people,I Barma,521abce2
info,registry,people,I Bist,beccd5a1
info,registry,people,JA Diergaardt,b72a8938
info,registry,people,K Joshi,0cd297b9
info,registry,people,KA Green,fa9fdefa
info,registry,people,M Gorases,d034d60a
info,registry,people,M Mwatile,92b9e9af
info,registry,people,N Benjamin,58317766
info,registry,people,Patric Makumbi,e4c69c16
info,registry,people,Puja Mahato,4b95058b
info,registry,people,R Airee,4b3057bc
info,registry,people,R Chaudhary,bc6f4dac
info,registry,people,RC Belbashi,dfdaca74
info,registry,people,Riya Sharma,8b7cda26
info,registry,people,Roma Thapa,05d9faac
info,registry,people,S Kintu,ff387f93
info,registry,people,S Tuhadeleni,13f7c5f4
info,registry,people,SA Wittmann,531aef3b
info,registry,people,SN Shihepo,1b3f7dbb
info,registry,people,Samjhana Khadka,765a2354
info,registry,people,W Mwatile,5728635a
info,registry,people,Yasmeen Khan,ade5c0c0
