version,2.2.0
info,balls_per_over,6
info,team,Kenya
info,team,Rwanda
info,gender,male
info,season,2023/24
info,date,2023/11/22
info,event,ICC Men's T20 World Cup Africa Region Qualifier
info,match_number,1
info,venue,"United Cricket Club Ground, Windhoek"
info,city,Windhoek
info,toss_winner,Rwanda
info,toss_decision,field
info,player_of_match,IA Karim
info,umpire,A Louw
info,umpire,S Dambanevana
info,reserve_umpire,Kehinde Olanbiwonnu
info,match_referee,GH Pienaar
info,winner,Kenya
info,winner_runs,17
info,player,Kenya,RN Patel
info,player,Kenya,CO Obuya
info,player,Kenya,IA Karim
info,player,Kenya,RR Patel
info,player,Kenya,SO Ngoche
info,player,Kenya,P Sharma
info,player,Kenya,LN Oluoch
info,player,Kenya,EB Ringera
info,player,Kenya,NM Odhiambo
info,player,Kenya,S Singh
info,player,Kenya,Vraj Patel
info,player,Rwanda,O Tuyisenge
info,player,Rwanda,E Dusingizimana
info,player,Rwanda,Hamza Khan
info,player,Rwanda,M Akayezu
info,player,Rwanda,E Sebareme
info,player,Rwanda,C Rububagumya
info,player,Rwanda,D Ndikubwimana
info,player,Rwanda,E Rukiriza
info,player,Rwanda,O Manishimwe
info,player,Rwanda,Z Bimenyimana
info,player,Rwanda,Muhammad Nadir
info,registry,people,A Louw,5eecae5d
info,registry,people,C Rububagumya,8088632c
info,registry,people,CO Obuya,5680f1ad
info,registry,people,D Ndikubwimana,3cbedf51
info,registry,people,E Dusingizimana,c15e7ba4
info,registry,people,E Rukiriza,3ac13a94
info,registry,people,E Sebareme,f99a219a
info,registry,people,EB Ringera,6cedad99
info,registry,people,GH Pienaar,3516e46b
info,registry,people,Hamza Khan,44a5f2b2
info,registry,people,IA Karim,ca92a578
info,registry,people,Kehinde Olanbiwonnu,e7e9f2cd
info,registry,people,LN Oluoch,eb4f9c61
info,registry,people,M Akayezu,1f3b9f8d
info,registry,people,Muhammad Nadir,090f96e4
info,registry,people,NM Odhiambo,c07a1f41
info,registry,people,O Manishimwe,fb31ca49
info,registry,people,O Tuyisenge,e6a6888f
info,registry,people,P Sharma,d047f983
info,registry,people,RN Patel,db1bf9c2
info,registry,people,RR Patel,7fa6bd8e
info,registry,people,S Dambanevana,039923bd
info,registry,people,S Singh,612a395c
info,registry,people,SO Ngoche,49118dc7
info,registry,people,Vraj Patel,2af28253
info,registry,people,Z Bimenyimana,ba57fb08
