version,2.2.0
info,balls_per_over,6
info,team,Thailand
info,team,Hong Kong
info,gender,female
info,season,2023
info,date,2023/09/06
info,event,ICC Women's T20 World Cup Asia Region Qualifier
info,match_number,25
info,venue,"UKM-YSD Cricket Oval, Bangi"
info,city,Bangi
info,toss_winner,Hong Kong
info,toss_decision,field
info,player_of_match,N Koncharoenkai
info,umpire,Sarika Prasad
info,umpire,Shivani Mishra
info,reserve_umpire,LDVV Silva
info,match_referee,M Nayyar
info,winner,Thailand
info,winner_runs,43
info,player,Thailand,S Khiaoto
info,player,Thailand,N Koncharoenkai
info,player,Thailand,N Chantam
info,player,Thailand,C Sutthiruang
info,player,Thailand,P Maya
info,player,Thailand,N Boochatham
info,player,Thailand,N Chaiwai
info,player,Thailand,T Putthawong
info,player,Thailand,S Tippoch
info,player,Thailand,O Kamchomphu
info,player,Thailand,S Chaturongrattana
info,player,Hong Kong,NT Miles
info,player,Hong Kong,M Hill
info,player,Hong Kong,YS To
info,player,Hong Kong,KY Chan
info,player,Hong Kong,MBA Lamplough
info,player,Hong Kong,Y Daswani
info,player,Hong Kong,Shanzeen Shahzad
info,player,Hong Kong,M Bibi
info,player,Hong Kong,Chan Ka Man
info,player,Hong Kong,Iqra Sahar
info,player,Hong Kong,M Wai Siu
info,registry,people,C Sutthiruang,f6ddfe08
info,registry,people,Chan Ka Man,c4022bff
info,registry,people,Iqra Sahar,aaccb8ca
info,registry,people,KY Chan,6348c6e9
info,registry,people,LDVV Silva,6e226c31
info,registry,people,M Bibi,34f86a2d
info,registry,people,M Hill,bf5e7711
info,registry,people,M Nayyar,b7bccddb
info,registry,people,M Wai Siu,74eecff4
info,registry,people,MBA Lamplough,997fffbe
info,registry,people,N Boochatham,58acb320
info,registry,people,N Chaiwai,0825e4b3
info,registry,people,N Chantam,b5626ff7
info,registry,people,N Koncharoenkai,82c78412
info,registry,people,NT Miles,d27d0835
info,registry,people,O Kamchomphu,519b872a
info,registry,people,P Maya,72eada4c
info,registry,people,S Chaturongrattana,bd36bc39
info,registry,people,S Khiaoto,3ac854ca
info,registry,people,S Tippoch,9c4b58db
info,registry,people,Sarika Prasad,8ff397fa
info,registry,people,Shanzeen Shahzad,ce291858
info,registry,people,Shivani Mishra,2982a0c7
info,registry,people,T Putthawong,23e3f2d6
info,registry,people,Y Daswani,2038a273
info,registry,people,YS To,73db1940
