version,2.2.0
info,balls_per_over,6
info,team,Costa Rica
info,team,Panama
info,gender,male
info,season,2025
info,date,2025/04/18
info,event,Central American Cricket Championships
info,match_number,3
info,venue,"Clayton Panama, Panama City"
info,city,Panama City
info,toss_winner,Costa Rica
info,toss_decision,bat
info,player_of_match,Ronitkumar Ahir
info,umpire,AR Maddela
info,umpire,R Shah
info,winner,Panama
info,winner_wickets,9
info,player,Costa Rica,S Ravikumar
info,player,Costa Rica,D Rawat
info,player,Costa Rica,K Shivam
info,player,Costa Rica,S Pillai
info,player,Costa Rica,D Ganesh
info,player,Costa Rica,RR Saun
info,player,Costa Rica,O Sam Arthur
info,player,Costa Rica,PV Naringrekar
info,player,Costa Rica,ARH Patel
info,player,Costa Rica,JR Lucky
info,player,Panama,P Jayeshbhai Patel
info,player,Panama,Meet Ahir
info,player,Panama,Breeze Ahir
info,player,Panama,Irfan Hafejee
info,player,Panama,Nazir Patel
info,player,Panama,FL Patel
info,player,Panama,A Natubhai Ahir
info,player,Panama,Faizal Salehji
info,player,Panama,Anskumar Ahir
info,player,Panama,Ronitkumar Ahir
info,player,Panama,P Suman Bhai Ahir
info,registry,people,A Natubhai Ahir,9c91218d
info,registry,people,AR Maddela,5c861579
info,registry,people,ARH Patel,c5147782
info,registry,people,Anskumar Ahir,1b62ed99
info,registry,people,Breeze Ahir,da09ca26
info,registry,people,D Ganesh,84624717
info,registry,people,D Rawat,cda3625c
info,registry,people,FL Patel,e205ce8b
info,registry,people,Faizal Salehji,7c5d046a
info,registry,people,Irfan Hafejee,244009ae
info,registry,people,JR Lucky,4a3cbbf2
info,registry,people,K Shivam,f46fbe60
info,registry,people,Meet Ahir,642d2883
info,registry,people,Nazir Patel,7da83f2e
info,registry,people,O Sam Arthur,11c35bf1
info,registry,people,P Jayeshbhai Patel,3317dc7a
info,registry,people,P Suman Bhai Ahir,af3042f1
info,registry,people,PV Naringrekar,b0ff13d6
info,registry,people,R Shah,3424e050
info,registry,people,RR Saun,acb6ee37
info,registry,people,Ronitkumar Ahir,402ea377
info,registry,people,S Pillai,927b34c9
info,registry,people,S Ravikumar,5597338d
