version,2.2.0
info,balls_per_over,6
info,team,Malaysia
info,team,Hong Kong
info,gender,male
info,season,2023
info,date,2023/09/22
info,event,Malaysia Tri-Nation T20I Series
info,match_number,4
info,venue,"Bayuemas Oval, Kuala Lumpur"
info,city,Kuala Lumpur
info,toss_winner,Malaysia
info,toss_decision,bat
info,player_of_match,Virandeep Singh
info,umpire,Nasir Ali
info,umpire,V Kalidas
info,reserve_umpire,Rudy Ismandy
info,match_referee,Ramesh Menon
info,winner,Malaysia
info,winner_runs,23
info,player,Malaysia,Syed Aziz
info,player,Malaysia,Zubaidi Zulkifle
info,player,Malaysia,Muhammad Amir
info,player,Malaysia,Ahmed Faiz
info,player,Malaysia,Virandeep Singh
info,player,Malaysia,Aslam Khan
info,player,Malaysia,Ainool Hafizs
info,player,Malaysia,S Muniandy
info,player,Malaysia,Khizar Hayat
info,player,Malaysia,S Vijay Unni
info,player,Malaysia,Rizwan Haider
info,player,Hong Kong,Nizakat Khan
info,player,Hong Kong,Muhammad Khan
info,player,Hong Kong,Babar Hayat
info,player,Hong Kong,S Mathur
info,player,Hong Kong,Akbar Khan
info,player,Hong Kong,Ehsan Khan
info,player,Hong Kong,Hamed Khan
info,player,Hong Kong,Anas Khan
info,player,Hong Kong,A Shukla
info,player,Hong Kong,Mohammad Ghazanfar
info,player,Hong Kong,A Mehmood
info,registry,people,A Mehmood,7cefb2a2
info,registry,people,A Shukla,a1e80d06
info,registry,people,Ahmed Faiz,f6b4f746
info,registry,people,Ainool Hafizs,1bada9da
info,registry,people,Akbar Khan,6113433c
info,registry,people,Anas Khan,66a7f213
info,registry,people,Aslam Khan,31080a88
info,registry,people,Babar Hayat,fbb657bb
info,registry,people,Ehsan Khan,d3851cd8
info,registry,people,Hamed Khan,0e4843d2
info,registry,people,Khizar Hayat,78bbeba1
info,registry,people,Mohammad Ghazanfar,00321fff
info,registry,people,Muhammad Amir,60bec5c3
info,registry,people,Muhammad Khan,f17ac7d0
info,registry,people,Nasir Ali,567675c8
info,registry,people,Nizakat Khan,e3eb9e46
info,registry,people,Ramesh Menon,4ed80d22
info,registry,people,Rizwan Haider,dc60abdc
info,registry,people,Rudy Ismandy,84682045
info,registry,people,S Mathur,11378dda
info,registry,people,S Muniandy,57fcfd3b
info,registry,people,S Vijay Unni,f737ab44
info,registry,people,Syed Aziz,6667067e
info,registry,people,V Kalidas,42d76418
info,registry,people,Virandeep Singh,415d30b6
info,registry,people,Zubaidi Zulkifle,dca8273d
