version,2.2.0
info,balls_per_over,6
info,team,Japan
info,team,Mongolia
info,gender,male
info,season,2024
info,date,2024/05/12
info,event,Mongolia tour of Japan
info,match_number,7
info,venue,Sano International Cricket Ground
info,city,Sano
info,toss_winner,Japan
info,toss_decision,bat
info,player_of_match,L Yamamoto-Lake
info,umpire,C Thurgate
info,umpire,D Natarajan
info,winner,Japan
info,winner_runs,157
info,player,Japan,L Yamamoto-Lake
info,player,Japan,D Suzuki
info,player,Japan,B Ito-Davis
info,player,Japan,A Kadowaki Fleming
info,player,Japan,KH Abe
info,player,Japan,I Takahashi
info,player,Japan,R Sakurano-Thomas
info,player,Japan,W Miyauchi
info,player,Japan,K Kubota
info,player,Japan,M Taniyama
info,player,Japan,C Hinze
info,player,Mongolia,G Ganbold
info,player,Mongolia,H Upadhyay
info,player,Mongolia,B Namsrai
info,player,Mongolia,T Amarmend
info,player,Mongolia,M Vivekanandan
info,player,Mongolia,E Otgonbayar
info,player,Mongolia,N Naranbaatar
info,player,Mongolia,Z Shurentsetseg
info,player,Mongolia,O Lutbayar
info,player,Mongolia,L Erdenebulgan
info,player,Mongolia,B Terbish
info,registry,people,A Kadowaki Fleming,0abf3da7
info,registry,people,B Ito-Davis,96275259
info,registry,people,B Namsrai,1d8a3ca6
info,registry,people,B Terbish,30c884c8
info,registry,people,C Hinze,626af7ff
info,registry,people,C Thurgate,4d8ad58c
info,registry,people,D Natarajan,aa3ea16d
info,registry,people,D Suzuki,64c81abf
info,registry,people,E Otgonbayar,3f9783fd
info,registry,people,G Ganbold,947346d8
info,registry,people,H Upadhyay,267cafb0
info,registry,people,I Takahashi,c988daa1
info,registry,people,K Kubota,42581e6d
info,registry,people,KH Abe,f22d2247
info,registry,people,L Erdenebulgan,c4f8d754
info,registry,people,L Yamamoto-Lake,fa23405f
info,registry,people,M Taniyama,cbd91942
info,registry,people,M Vivekanandan,c4e205e4
info,registry,people,N Naranbaatar,b0e16d9b
info,registry,people,O Lutbayar,ccd88623
info,registry,people,R Sakurano-Thomas,dd14abf5
info,registry,people,T Amarmend,e76c8732
info,registry,people,W Miyauchi,fef40097
info,registry,people,Z Shurentsetseg,45c6afaf
