version,2.2.0
info,balls_per_over,6
info,team,France
info,team,Scotland
info,gender,female
info,season,2023
info,date,2023/09/08
info,event,ICC Women's T20 World Cup Europe Region Qualifier
info,match_number,6
info,venue,"Desert Springs Cricket Ground, Almeria"
info,city,Almeria
info,toss_winner,France
info,toss_decision,bat
info,player_of_match,KE Bryce
info,umpire,Adnan Khan
info,umpire,Rizwan Akram
info,reserve_umpire,HE Kearns
info,match_referee,DT Jukes
info,winner,Scotland
info,winner_wickets,7
info,player,France,IY Mckeon
info,player,France,Ganesh Pooja
info,player,France,ME Violleau
info,player,France,L Wykes-Templeman
info,player,France,PC McGeown
info,player,France,A Bester
info,player,France,AL Seddon
info,player,France,TE Britton
info,player,France,Emma Patel
info,player,France,PKM Mahawattage
info,player,France,DL Graham
info,player,Scotland,KE Bryce
info,player,Scotland,M Faisal
info,player,Scotland,PA Chatterji
info,player,Scotland,SJ Bryce
info,player,Scotland,L Jack
info,player,Scotland,AH Maqsood
info,player,Scotland,A Lister
info,player,Scotland,M McColl
info,player,Scotland,C Abel
info,player,Scotland,DEM Carter
info,player,Scotland,NM Sheikh
info,registry,people,A Bester,047d293e
info,registry,people,A Lister,090c0213
info,registry,people,AH Maqsood,f61e2829
info,registry,people,AL Seddon,d12ec7b3
info,registry,people,Adnan Khan,45ec7a99
info,registry,people,C Abel,d92d3563
info,registry,people,DEM Carter,c3394c16
info,registry,people,DL Graham,907e30d9
info,registry,people,DT Jukes,7c215d14
info,registry,people,Emma Patel,030a38e0
info,registry,people,Ganesh Pooja,ab144207
info,registry,people,HE Kearns,fd4959c8
info,registry,people,IY Mckeon,59ff3c57
info,registry,people,KE Bryce,f13d3eba
info,registry,people,L Jack,e565ceb7
info,registry,people,L Wykes-Templeman,46c9b2bc
info,registry,people,M Faisal,48b74dc2
info,registry,people,M McColl,d5fa2ab3
info,registry,people,ME Violleau,69f47625
info,registry,people,NM Sheikh,23ef9b32
info,registry,people,PA Chatterji,8e7be59c
info,registry,people,PC McGeown,1aabd6fc
info,registry,people,PKM Mahawattage,a413b433
info,registry,people,Rizwan Akram,b5346f1e
info,registry,people,SJ Bryce,2ca65aee
info,registry,people,TE Britton,5eceeb7f
