version,2.2.0
info,balls_per_over,6
info,team,France
info,team,Sweden
info,gender,female
info,season,2023
info,date,2023/05/30
info,event,ICC Women's T20 World Cup Europe Division 2 Qualifier
info,match_number,6
info,venue,"FB Fields, St Clement"
info,city,St Clement
info,toss_winner,Sweden
info,toss_decision,field
info,player_of_match,IY Mckeon
info,umpire,HE Kearns
info,umpire,J Naeem
info,reserve_umpire,AY Harris
info,match_referee,G McCrea
info,winner,France
info,winner_runs,48
info,player,France,IY Mckeon
info,player,France,L Wykes-Templeman
info,player,France,PC McGeown
info,player,France,ME Violleau
info,player,France,Ganesh Pooja
info,player,France,AL Seddon
info,player,France,Emma Patel
info,player,France,TE Britton
info,player,France,DL Graham
info,player,France,A Bester
info,player,France,PKM Mahawattage
info,player,Sweden,Kanchan Rana
info,player,Sweden,S Lundell
info,player,Sweden,G Shukla
info,player,Sweden,A Vaidya
info,player,Sweden,Jayasooriya
info,player,Sweden,Eman Asim
info,player,Sweden,E Thelander
info,player,Sweden,RG Somashekhar
info,player,Sweden,H Chamto
info,player,Sweden,S Bhanushali
info,player,Sweden,SK Ravuri
info,registry,people,A Bester,047d293e
info,registry,people,A Vaidya,b7d8c07d
info,registry,people,AL Seddon,d12ec7b3
info,registry,people,AY Harris,90d95b82
info,registry,people,DL Graham,907e30d9
info,registry,people,E Thelander,45cb4feb
info,registry,people,Eman Asim,fd8038e1
info,registry,people,Emma Patel,030a38e0
info,registry,people,G McCrea,46f4a901
info,registry,people,G Shukla,6b4817d9
info,registry,people,Ganesh Pooja,ab144207
info,registry,people,H Chamto,5e181be6
info,registry,people,HE Kearns,fd4959c8
info,registry,people,IY Mckeon,59ff3c57
info,registry,people,J Naeem,0dc3fee0
info,registry,people,Jayasooriya,39183970
info,registry,people,Kanchan Rana,d5d87f3f
info,registry,people,L Wykes-Templeman,46c9b2bc
info,registry,people,ME Violleau,69f47625
info,registry,people,PC McGeown,1aabd6fc
info,registry,people,PKM Mahawattage,a413b433
info,registry,people,RG Somashekhar,881cb071
info,registry,people,S Bhanushali,da6576af
info,registry,people,S Lundell,0d298cc9
info,registry,people,SK Ravuri,0398fc0f
info,registry,people,TE Britton,5eceeb7f
