version,2.2.0
info,balls_per_over,6
info,team,Gambia
info,team,Cameroon
info,gender,male
info,season,2022/23
info,date,2022/12/09
info,event,ICC Men's T20 World Cup Sub Regional Africa Qualifier
info,match_number,26
info,venue,Integrated Polytechnic Regional Centre
info,city,Kigali City
info,toss_winner,Gambia
info,toss_decision,bat
info,player_of_match,Muhammed Manga
info,umpire,S Kintu
info,umpire,Stephen Harris
info,reserve_umpire,Habib Enesi
info,match_referee,SA Fritz
info,winner,Gambia
info,winner_runs,11
info,player,Gambia,Muhammed Manga
info,player,Gambia,Mustapha Suwareh
info,player,Gambia,Abubacarr Kuyateh
info,player,Gambia,A Conteh
info,player,Gambia,Ousman Bah
info,player,Gambia,Ismaila Tanba
info,player,Gambia,ML Bojang
info,player,Gambia,F Campbell
info,player,Gambia,M Jobarteh
info,player,Gambia,P Campbell
info,player,Gambia,O Touray
info,player,Cameroon,BN Toube
info,player,Cameroon,I Tchakou
info,player,Cameroon,RGA Amah
info,player,Cameroon,JB Abega
info,player,Cameroon,AN Toube
info,player,Cameroon,AB Mengoumou
info,player,Cameroon,DB Loic
info,player,Cameroon,P Abanda
info,player,Cameroon,CB Ondoa
info,player,Cameroon,AN Aminou
info,player,Cameroon,RD Atangana
info,registry,people,A Conteh,97b9cb64
info,registry,people,AB Mengoumou,8ad3d034
info,registry,people,AN Aminou,6d9d2de7
info,registry,people,AN Toube,7f929ebe
info,registry,people,Abubacarr Kuyateh,0ec45a9a
info,registry,people,BN Toube,75f3aa00
info,registry,people,CB Ondoa,b3179e21
info,registry,people,DB Loic,01679383
info,registry,people,F Campbell,02c3024c
info,registry,people,Habib Enesi,fb35ab1f
info,registry,people,I Tchakou,4d2b96b4
info,registry,people,Ismaila Tanba,180e2c15
info,registry,people,JB Abega,b7abb123
info,registry,people,M Jobarteh,4a2ce060
info,registry,people,ML Bojang,c2409632
info,registry,people,Muhammed Manga,6084f6ee
info,registry,people,Mustapha Suwareh,44116edc
info,registry,people,O Touray,57427d9e
info,registry,people,Ousman Bah,95c214dd
info,registry,people,P Abanda,90a8dfec
info,registry,people,P Campbell,3caaf69e
info,registry,people,RD Atangana,490f475a
info,registry,people,RGA Amah,90f9aedf
info,registry,people,S Kintu,ff387f93
info,registry,people,SA Fritz,d15e60c8
info,registry,people,Stephen Harris,fdcfd4aa
